Name,Succ,Fail,Send Rate (TPS),Max Latency (s),Min Latency (s),Avg Latency (s),Throughput (TPS),Experiment,TestType,TPS,Report
query,1000,0,325.8,0.02,0.00,0.00,325.6,4n-5s-ibft-v26.2.0_20260330_230006,query,325,query_tps325
query,1000,0,350.9,0.01,0.00,0.00,350.8,4n-5s-ibft-v26.2.0_20260330_230006,query,350,query_tps350
query,1000,0,376.1,0.01,0.00,0.00,375.9,4n-5s-ibft-v26.2.0_20260330_230006,query,375,query_tps375
query,1000,0,401.3,0.01,0.00,0.00,401.1,4n-5s-ibft-v26.2.0_20260330_230006,query,400,query_tps400
query,1000,0,426.8,0.01,0.00,0.00,426.4,4n-5s-ibft-v26.2.0_20260330_230006,query,425,query_tps425
query,1000,0,451.3,0.01,0.00,0.00,451.1,4n-5s-ibft-v26.2.0_20260330_230006,query,450,query_tps450
query,1000,0,476.6,0.01,0.00,0.00,476.2,4n-5s-ibft-v26.2.0_20260330_230006,query,475,query_tps475
query,1000,0,501.8,0.01,0.00,0.00,501.3,4n-5s-ibft-v26.2.0_20260330_230006,query,500,query_tps500
