Name,Succ,Fail,Send Rate (TPS),Max Latency (s),Min Latency (s),Avg Latency (s),Throughput (TPS),Test Type
query,1000,0,616.1,0.01,0.00,0.00,615.4,query_report
open,1000,0,54.5,46.69,30.54,41.49,17.7,open_report
transfer,50,0,59.5,5.51,5.13,5.38,8.4,transfer_report
