Name,Succ,Fail,Send Rate (TPS),Max Latency (s),Min Latency (s),Avg Latency (s),Throughput (TPS),Experiment,TestType,TPS,Report
transfer,2000,0,100.1,6.93,2.11,4.32,86.6,8n-5s-qbft-v26.2.0_20260404_155411,transfer,100,transfer_tps100
transfer,2000,0,125.1,7.89,1.42,4.17,104.2,8n-5s-qbft-v26.2.0_20260404_155411,transfer,125,transfer_tps125
transfer,2000,0,150.2,6.47,1.57,4.46,110.7,8n-5s-qbft-v26.2.0_20260404_155411,transfer,150,transfer_tps150
transfer,2000,0,175.2,9.05,3.01,5.45,103.8,8n-5s-qbft-v26.2.0_20260404_155411,transfer,175,transfer_tps175
transfer,2000,0,190.2,8.79,3.14,5.65,109.2,8n-5s-qbft-v26.2.0_20260404_155411,transfer,200,transfer_tps200
transfer,2000,0,225.3,11.59,4.42,6.78,113.7,8n-5s-qbft-v26.2.0_20260404_155411,transfer,225,transfer_tps225
transfer,2000,0,226.1,17.10,3.47,9.56,81.0,8n-5s-qbft-v26.2.0_20260404_155411,transfer,250,transfer_tps250
transfer,2000,0,275.3,9.75,4.53,6.03,131.7,8n-5s-qbft-v26.2.0_20260404_155411,transfer,275,transfer_tps275
transfer,2000,0,300.4,10.28,2.67,7.23,120.4,8n-5s-qbft-v26.2.0_20260404_155411,transfer,300,transfer_tps300
