Name,Succ,Fail,Send Rate (TPS),Max Latency (s),Min Latency (s),Avg Latency (s),Throughput (TPS),Experiment,TestType,TPS,Report
query,2000,0,100.1,0.02,0.00,0.00,100.1,12n-5s-qbft-v26.2.0_20260404_163524,query,100,query_tps100
query,2000,0,125.1,0.01,0.00,0.00,125.1,12n-5s-qbft-v26.2.0_20260404_163524,query,125,query_tps125
query,2000,0,150.1,0.01,0.00,0.00,150.1,12n-5s-qbft-v26.2.0_20260404_163524,query,150,query_tps150
query,2000,0,175.2,0.01,0.00,0.00,175.1,12n-5s-qbft-v26.2.0_20260404_163524,query,175,query_tps175
query,2000,0,200.2,0.01,0.00,0.00,200.1,12n-5s-qbft-v26.2.0_20260404_163524,query,200,query_tps200
query,2000,0,225.2,0.01,0.00,0.00,225.2,12n-5s-qbft-v26.2.0_20260404_163524,query,225,query_tps225
query,2000,0,250.3,0.01,0.00,0.00,250.2,12n-5s-qbft-v26.2.0_20260404_163524,query,250,query_tps250
query,2000,0,275.3,0.01,0.00,0.00,275.2,12n-5s-qbft-v26.2.0_20260404_163524,query,275,query_tps275
query,2000,0,300.4,0.01,0.00,0.00,300.3,12n-5s-qbft-v26.2.0_20260404_163524,query,300,query_tps300
