Name,CPU%(max),CPU%(avg),Memory(max) [GB],Memory(avg) [MB],Traffic In [B],Traffic Out [B],Disc Write [MB],Disc Read [B],Experiment,TestType,TPS,Report,Memory(avg) [GB]
/node-besu4,0.6091666666666666,0.28125,0.525,489,0.00,0.00,3.10,0.00,8n-5s-qbft-v26.2.0_20260404_155411,open,100,open_tps100,
/node-besu8,0.47374999999999995,0.25666666666666665,0.626,596,0.00,0.00,2.79,0.00,8n-5s-qbft-v26.2.0_20260404_155411,open,100,open_tps100,
/node-besu1,1.235,0.5345833333333333,1.22,892,0.00,0.00,4.11,0.00,8n-5s-qbft-v26.2.0_20260404_155411,open,100,open_tps100,
/node-besu7,0.7200000000000001,0.34541666666666665,0.658,635,0.00,0.00,2.77,0.00,8n-5s-qbft-v26.2.0_20260404_155411,open,100,open_tps100,
/node-besu6,0.5820833333333334,0.3179166666666667,0.644,612,0.00,0.00,2.73,0.00,8n-5s-qbft-v26.2.0_20260404_155411,open,100,open_tps100,
/node-besu5,0.7404166666666666,0.26625,0.696,658,0.00,0.00,2.77,0.00,8n-5s-qbft-v26.2.0_20260404_155411,open,100,open_tps100,
/node-besu3,0.6020833333333333,0.1925,0.663,602,0.00,0.00,2.29,0.00,8n-5s-qbft-v26.2.0_20260404_155411,open,100,open_tps100,
/node-besu2,0.49333333333333335,0.19125,0.622,575,0.00,0.00,2.89,0.00,8n-5s-qbft-v26.2.0_20260404_155411,open,100,open_tps100,
/node-besu4,0.14458333333333334,0.08,0.650,,0.00,0.00,1.21,0.00,8n-5s-qbft-v26.2.0_20260404_155411,open,125,open_tps125,0.560
/node-besu8,0.2775,0.09166666666666667,0.638,,0.00,0.00,1.18,0.00,8n-5s-qbft-v26.2.0_20260404_155411,open,125,open_tps125,0.629
/node-besu1,0.17125,0.075,1.22,,0.00,0.00,2.04,0.00,8n-5s-qbft-v26.2.0_20260404_155411,open,125,open_tps125,1.22
/node-besu7,0.11791666666666667,0.049166666666666664,0.751,,0.00,0.00,1.16,0.00,8n-5s-qbft-v26.2.0_20260404_155411,open,125,open_tps125,0.694
/node-besu6,0.10416666666666667,0.046250000000000006,0.712,,0.00,0.00,1.43,0.00,8n-5s-qbft-v26.2.0_20260404_155411,open,125,open_tps125,0.670
/node-besu5,0.29291666666666666,0.08374999999999999,0.703,,0.00,0.00,1.18,0.00,8n-5s-qbft-v26.2.0_20260404_155411,open,125,open_tps125,0.699
/node-besu3,0.10166666666666667,0.04583333333333334,0.666,,0.00,0.00,0.961,0.00,8n-5s-qbft-v26.2.0_20260404_155411,open,125,open_tps125,0.665
/node-besu2,0.11916666666666666,0.048749999999999995,0.645,,0.00,0.00,1.38,0.00,8n-5s-qbft-v26.2.0_20260404_155411,open,125,open_tps125,0.635
