Name,CPU%(max),CPU%(avg),Memory(max) [GB],Memory(avg) [GB],Traffic In [B],Traffic Out [B],Disc Write [KB],Disc Read [B],Report,TPS,Disc Write [MB]
/node-besu3,0.017083333333333332,0.005,0.662,0.662,0.00,0.00,792,0.00,open_report_100_20251108-183315,100,
/node-besu4,0.014583333333333332,0.005,0.662,0.662,0.00,0.00,,0.00,open_report_100_20251108-181905,100,0.828
/node-besu2,0.013333333333333334,0.00375,0.621,0.621,0.00,0.00,,0.00,open_report_100_20251108-181905,100,0.816
/node-besu1,0.2025,0.029583333333333333,1.50,1.49,0.00,0.00,,0.00,open_report_100_20251108-181905,100,1.71
/node-besu3,0.012499999999999999,0.004166666666666667,0.661,0.661,0.00,0.00,,0.00,open_report_100_20251108-181905,100,0.781
/node-besu4,0.016666666666666666,0.004583333333333333,0.669,0.669,0.00,0.00,,0.00,open_report_120_20251108-184725,120,0.551
/node-besu2,0.014583333333333332,0.005,0.630,0.630,0.00,0.00,,0.00,open_report_120_20251108-184725,120,0.785
/node-besu1,0.17333333333333334,0.0275,1.50,1.50,0.00,0.00,,0.00,open_report_120_20251108-184725,120,2.40
/node-besu3,0.013333333333333334,0.004166666666666667,0.666,0.666,0.00,0.00,,0.00,open_report_120_20251108-184725,120,0.543
/node-besu3,0.014166666666666668,0.004583333333333333,0.661,0.661,0.00,0.00,,0.00,open_report_120_20251108-181955,120,0.668
/node-besu1,0.05625,0.015833333333333335,1.50,1.49,0.00,0.00,,0.00,open_report_120_20251108-181955,120,1.54
/node-besu2,0.014583333333333332,0.005833333333333334,0.622,0.622,0.00,0.00,,0.00,open_report_120_20251108-181955,120,0.109
/node-besu4,0.018333333333333333,0.009166666666666667,0.663,0.662,0.00,0.00,,0.00,open_report_120_20251108-181955,120,0.668
/node-besu3,0.014583333333333332,0.004583333333333333,0.602,0.602,0.00,0.00,,0.00,open_report_120_20251108-180545,120,0.813
/node-besu1,0.06874999999999999,0.016666666666666666,1.50,1.50,0.00,0.00,,0.00,open_report_120_20251108-180545,120,2.05
/node-besu2,0.024166666666666666,0.01,0.618,0.617,0.00,0.00,,0.00,open_report_120_20251108-180545,120,0.840
