Name,Succ,Fail,Send Rate (TPS),Max Latency (s),Min Latency (s),Avg Latency (s),Throughput (TPS),Experiment,TestType,TPS,Report
open,2000,0,100.1,7.13,2.17,4.53,85.6,4n-5s-qbft-v26.2.0_20260404_151411,open,100,open_tps100
open,2000,0,125.1,7.36,1.40,3.92,103.7,4n-5s-qbft-v26.2.0_20260404_151411,open,125,open_tps125
open,2000,0,150.1,5.79,1.34,3.87,125.3,4n-5s-qbft-v26.2.0_20260404_151411,open,150,open_tps150
open,2000,0,175.2,6.09,0.47,4.27,133.8,4n-5s-qbft-v26.2.0_20260404_151411,open,175,open_tps175
open,2000,0,200.2,6.11,0.26,4.58,144.3,4n-5s-qbft-v26.2.0_20260404_151411,open,200,open_tps200
open,2000,0,225.2,8.86,0.40,5.68,116.4,4n-5s-qbft-v26.2.0_20260404_151411,open,225,open_tps225
open,2000,0,250.3,6.31,2.16,5.09,141.0,4n-5s-qbft-v26.2.0_20260404_151411,open,250,open_tps250
open,2000,0,275.3,6.19,2.58,5.09,149.6,4n-5s-qbft-v26.2.0_20260404_151411,open,275,open_tps275
open,2000,0,300.3,7.32,1.61,5.27,143.0,4n-5s-qbft-v26.2.0_20260404_151411,open,300,open_tps300
