Name,CPU%(max),CPU%(avg),Memory(max) [MB],Memory(avg) [MB],Traffic In [B],Traffic Out [B],Disc Write [MB],Disc Read [KB],Report,TPS,Disc Write [KB],Disc Read [B]
/node-besu4,0.3095833333333333,0.0825,500,486,0.00,0.00,1.35,0.00,open_report,0,,
/node-besu6,0.16958333333333334,0.05416666666666667,525,483,0.00,0.00,1.35,0.00,open_report,0,,
/node-besu5,0.8770833333333333,0.23958333333333334,644,618,0.00,0.00,1.33,0.00,open_report,0,,
/node-besu1,0.57625,0.18166666666666667,965,754,0.00,0.00,1.63,8.00,open_report,0,,
/node-besu3,0.17208333333333334,0.05958333333333333,514,477,0.00,0.00,0.492,0.00,open_report,0,,
/node-besu2,0.18083333333333332,0.05541666666666667,516,502,0.00,0.00,1.36,0.00,open_report,0,,
/node-besu4,0.03291666666666667,0.017916666666666668,528,524,0.00,0.00,,,query_report,0,100,0.00
/node-besu6,0.00375,0.002916666666666667,526,525,0.00,0.00,,,query_report,0,96.0,0.00
/node-besu5,0.0020833333333333333,0.0020833333333333333,642,642,0.00,0.00,,,query_report,0,92.0,0.00
/node-besu1,0.005416666666666667,0.004166666666666667,996,981,0.00,0.00,,,query_report,0,260,0.00
/node-besu3,0.0025,0.0025,557,550,0.00,0.00,,,query_report,0,300,0.00
/node-besu2,0.005,0.00375,518,518,0.00,0.00,,,query_report,0,96.0,0.00
/node-besu4,0.01,0.006666666666666667,528,527,0.00,0.00,,,transfer_report,0,0.00,0.00
/node-besu6,0.044583333333333336,0.023333333333333334,526,526,0.00,0.00,,,transfer_report,0,160,0.00
/node-besu5,0.0025,0.0025,643,642,0.00,0.00,,,transfer_report,0,152,0.00
/node-besu1,0.002916666666666667,0.002916666666666667,998,997,0.00,0.00,,,transfer_report,0,204,0.00
/node-besu3,0.012499999999999999,0.007083333333333334,558,558,0.00,0.00,,,transfer_report,0,192,0.00
/node-besu2,0.0025,0.0025,520,519,0.00,0.00,,,transfer_report,0,148,0.00
