Name,CPU%(max),CPU%(avg),Memory(max) [GB],Memory(avg) [GB],Traffic In [B],Traffic Out [B],Disc Write [KB],Disc Read [B],Experiment,TestType,TPS,Report,Memory(max) [MB],Memory(avg) [MB]
/node-besu3,0.004166666666666667,0.00375,0.731,0.731,0.00,0.00,88.0,0.00,8n-5s-ibft-v26.2.0_20260404_173537,query,200,query_tps200,,
/node-besu5,0.00375,0.0033333333333333335,0.811,0.811,0.00,0.00,96.0,0.00,8n-5s-ibft-v26.2.0_20260404_173537,query,200,query_tps200,,
/node-besu8,0.004166666666666667,0.0033333333333333335,0.756,0.756,0.00,0.00,136,0.00,8n-5s-ibft-v26.2.0_20260404_173537,query,200,query_tps200,,
/node-besu6,0.004166666666666667,0.00375,0.724,0.724,0.00,0.00,152,0.00,8n-5s-ibft-v26.2.0_20260404_173537,query,200,query_tps200,,
/node-besu1,0.03208333333333333,0.012916666666666667,1.33,1.33,0.00,0.00,240,0.00,8n-5s-ibft-v26.2.0_20260404_173537,query,200,query_tps200,,
/node-besu4,0.00375,0.0033333333333333335,0.713,0.713,0.00,0.00,88.0,0.00,8n-5s-ibft-v26.2.0_20260404_173537,query,200,query_tps200,,
/node-besu2,0.004166666666666667,0.00375,0.850,0.850,0.00,0.00,152,0.00,8n-5s-ibft-v26.2.0_20260404_173537,query,200,query_tps200,,
/node-besu7,0.014583333333333332,0.0075,0.730,0.730,0.00,0.00,180,0.00,8n-5s-ibft-v26.2.0_20260404_173537,query,225,query_tps225,,
/node-besu3,0.004166666666666667,0.0033333333333333335,0.731,0.731,0.00,0.00,100,0.00,8n-5s-ibft-v26.2.0_20260404_173537,query,225,query_tps225,,
/node-besu5,0.00375,0.0033333333333333335,0.811,0.811,0.00,0.00,144,0.00,8n-5s-ibft-v26.2.0_20260404_173537,query,225,query_tps225,,
/node-besu8,0.004166666666666667,0.0033333333333333335,0.756,0.756,0.00,0.00,96.0,0.00,8n-5s-ibft-v26.2.0_20260404_173537,query,225,query_tps225,,
/node-besu6,0.0062499999999999995,0.004166666666666667,0.725,0.725,0.00,0.00,88.0,0.00,8n-5s-ibft-v26.2.0_20260404_173537,query,225,query_tps225,,
/node-besu1,0.035833333333333335,0.015,1.33,1.33,0.00,0.00,312,0.00,8n-5s-ibft-v26.2.0_20260404_173537,query,225,query_tps225,,
/node-besu4,0.004166666666666667,0.00375,0.713,0.713,0.00,0.00,92.0,0.00,8n-5s-ibft-v26.2.0_20260404_173537,query,225,query_tps225,,
/node-besu2,0.004166666666666667,0.0033333333333333335,0.850,0.850,0.00,0.00,96.0,0.00,8n-5s-ibft-v26.2.0_20260404_173537,query,225,query_tps225,,
/node-besu7,0.01916666666666667,0.009166666666666667,0.730,0.730,0.00,0.00,144,0.00,8n-5s-ibft-v26.2.0_20260404_173537,query,250,query_tps250,,
/node-besu3,0.004166666666666667,0.004166666666666667,0.731,0.731,0.00,0.00,0.00,0.00,8n-5s-ibft-v26.2.0_20260404_173537,query,250,query_tps250,,
/node-besu5,0.004166666666666667,0.0033333333333333335,0.811,0.811,0.00,0.00,88.0,0.00,8n-5s-ibft-v26.2.0_20260404_173537,query,250,query_tps250,,
/node-besu8,0.00375,0.00375,0.756,0.755,0.00,0.00,96.0,0.00,8n-5s-ibft-v26.2.0_20260404_173537,query,250,query_tps250,,
/node-besu6,0.007083333333333334,0.005,0.724,0.724,0.00,0.00,148,0.00,8n-5s-ibft-v26.2.0_20260404_173537,query,250,query_tps250,,
/node-besu1,0.0375,0.015,1.33,1.09,0.00,0.00,344,0.00,8n-5s-ibft-v26.2.0_20260404_173537,query,250,query_tps250,,
/node-besu4,0.004166666666666667,0.00375,0.712,0.712,0.00,0.00,88.0,0.00,8n-5s-ibft-v26.2.0_20260404_173537,query,250,query_tps250,,
/node-besu2,0.00375,0.00375,0.849,0.849,0.00,0.00,136,0.00,8n-5s-ibft-v26.2.0_20260404_173537,query,250,query_tps250,,
