Name,Succ,Fail,Send Rate (TPS),Max Latency (s),Min Latency (s),Avg Latency (s),Throughput (TPS),Experiment,TestType,TPS,Report
transfer,50,0,61.7,5.24,0.20,3.99,9.2,8n-5s-qbft-v26.2.0_20260330_221757,transfer,60,transfer_tps60
transfer,50,0,71.9,3.72,3.05,3.39,13.4,8n-5s-qbft-v26.2.0_20260330_221757,transfer,70,transfer_tps70
transfer,50,0,82.4,3.99,3.40,3.69,12.5,8n-5s-qbft-v26.2.0_20260330_221757,transfer,80,transfer_tps80
transfer,50,0,92.6,3.50,2.96,3.23,14.3,8n-5s-qbft-v26.2.0_20260330_221757,transfer,90,transfer_tps90
transfer,50,0,102.9,3.44,2.97,3.21,14.5,8n-5s-qbft-v26.2.0_20260330_221757,transfer,100,transfer_tps100
transfer,50,0,113.4,3.85,3.43,3.64,12.9,8n-5s-qbft-v26.2.0_20260330_221757,transfer,110,transfer_tps110
transfer,50,0,123.8,0.67,0.28,0.48,73.0,8n-5s-qbft-v26.2.0_20260330_221757,transfer,120,transfer_tps120
transfer,50,0,134.4,4.12,3.76,3.94,12.1,8n-5s-qbft-v26.2.0_20260330_221757,transfer,130,transfer_tps130
