Name,CPU%(max),CPU%(avg),Memory(max) [MB],Memory(avg) [MB],Traffic In [B],Traffic Out [B],Disc Write [MB],Disc Read [B],Report,TPS,Disc Write [KB]
/node-besu2,0.5866666666666667,0.19833333333333333,568,543,0.00,0.00,1.32,0.00,open_report,0,
/node-besu3,0.515,0.19791666666666666,561,531,0.00,0.00,1.27,0.00,open_report,0,
/node-besu4,0.6441666666666667,0.25333333333333335,489,473,0.00,0.00,1.29,0.00,open_report,0,
/node-besu6,0.8258333333333333,0.2966666666666667,546,524,0.00,0.00,0.434,0.00,open_report,0,
/node-besu1,0.8120833333333333,0.2808333333333333,774,617,0.00,0.00,1.83,0.00,open_report,0,
/node-besu5,0.6245833333333334,0.22833333333333336,541,527,0.00,0.00,0.465,0.00,open_report,0,
/node-besu2,0.07208333333333333,0.0375,562,562,0.00,0.00,,0.00,query_report,0,56.0
/node-besu3,0.06791666666666667,0.043750000000000004,561,561,0.00,0.00,,0.00,query_report,0,52.0
/node-besu4,0.029583333333333333,0.016666666666666666,485,485,0.00,0.00,,0.00,query_report,0,76.0
/node-besu6,0.012499999999999999,0.0075,544,543,0.00,0.00,,0.00,query_report,0,0.00
/node-besu1,0.022500000000000003,0.013333333333333334,776,775,0.00,0.00,,0.00,query_report,0,252
/node-besu5,0.015416666666666667,0.014166666666666668,541,541,0.00,0.00,,0.00,query_report,0,0.00
/node-besu2,0.012916666666666667,0.007916666666666667,562,561,0.00,0.00,,0.00,transfer_report,0,92.0
/node-besu3,0.012499999999999999,0.0075,562,561,0.00,0.00,,0.00,transfer_report,0,208
/node-besu4,0.018333333333333333,0.010416666666666666,485,485,0.00,0.00,,0.00,transfer_report,0,288
/node-besu6,0.015,0.008749999999999999,544,544,0.00,0.00,,0.00,transfer_report,0,0.00
/node-besu1,0.013333333333333334,0.007916666666666667,779,778,0.00,0.00,,0.00,transfer_report,0,316
/node-besu5,0.012916666666666667,0.007916666666666667,582,570,0.00,0.00,,0.00,transfer_report,0,208
