Name,Succ,Fail,Send Rate (TPS),Max Latency (s),Min Latency (s),Avg Latency (s),Throughput (TPS),Report,TPS
open,1000,0,180.3,7.79,3.29,6.02,87.2,open_report,0
query,1000,0,597.0,0.02,0.00,0.00,596.3,query_report,0
transfer,50,0,113.4,4.70,4.26,4.47,10.6,transfer_report,0
