Name,CPU%(max),CPU%(avg),Memory(max) [MB],Memory(avg) [MB],Traffic In [B],Traffic Out [B],Disc Write [MB],Disc Read [B],Report,TPS,Disc Write [KB]
/node-besu6,0.01958333333333333,0.007083333333333334,510,502,0.00,0.00,1.39,0.00,open_report,0,
/node-besu2,0.16291666666666668,0.04791666666666666,549,502,0.00,0.00,1.44,0.00,open_report,0,
/node-besu3,0.024999999999999998,0.01625,570,556,0.00,0.00,1.30,0.00,open_report,0,
/node-besu4,0.01375,0.006666666666666667,535,528,0.00,0.00,1.25,0.00,open_report,0,
/node-besu1,0.2529166666666667,0.08166666666666667,890,715,0.00,0.00,1.31,0.00,open_report,0,
/node-besu5,0.03666666666666667,0.017499999999999998,530,509,0.00,0.00,1.23,0.00,open_report,0,
/node-besu6,0.05125,0.028749999999999998,510,510,0.00,0.00,,0.00,query_report,0,48.0
/node-besu2,0.009583333333333334,0.0062499999999999995,540,540,0.00,0.00,,0.00,query_report,0,48.0
/node-besu3,0.009166666666666667,0.0062499999999999995,571,571,0.00,0.00,,0.00,query_report,0,44.0
/node-besu4,0.011250000000000001,0.007083333333333334,536,536,0.00,0.00,,0.00,query_report,0,76.0
/node-besu1,0.010416666666666666,0.009583333333333334,891,891,0.00,0.00,,0.00,query_report,0,0.00
/node-besu5,0.025416666666666667,0.014166666666666668,532,532,0.00,0.00,,0.00,query_report,0,0.00
/node-besu6,0.16541666666666668,0.08374999999999999,519,514,0.00,0.00,,0.00,transfer_report,0,68.0
/node-besu2,0.09166666666666667,0.05666666666666667,543,542,0.00,0.00,,0.00,transfer_report,0,76.0
/node-besu3,0.014583333333333332,0.008333333333333333,571,571,0.00,0.00,,0.00,transfer_report,0,60.0
/node-besu4,0.017083333333333332,0.01,537,536,0.00,0.00,,0.00,transfer_report,0,72.0
/node-besu1,0.02291666666666667,0.012916666666666667,899,895,0.00,0.00,,0.00,transfer_report,0,0.00
/node-besu5,0.018333333333333333,0.010416666666666666,532,532,0.00,0.00,,0.00,transfer_report,0,0.00
