Name,CPU%(max),CPU%(avg),Memory(max) [GB],Memory(avg) [GB],Traffic In [B],Traffic Out [B],Disc Write [KB],Disc Read [B],Experiment,TestType,TPS,Report,Disc Write [MB]
/node-besu4,0.008333333333333333,0.004583333333333333,0.836,0.836,0.00,0.00,200,0.00,10n-5s-qbft-v26.2.0_20260404_161434,query,100,query_tps100,
/node-besu10,0.01875,0.015,0.886,0.886,0.00,0.00,200,0.00,10n-5s-qbft-v26.2.0_20260404_161434,query,100,query_tps100,
/node-besu6,0.025416666666666667,0.015833333333333335,0.896,0.896,0.00,0.00,260,0.00,10n-5s-qbft-v26.2.0_20260404_161434,query,100,query_tps100,
/node-besu7,0.018333333333333333,0.014583333333333332,0.946,0.946,0.00,0.00,248,0.00,10n-5s-qbft-v26.2.0_20260404_161434,query,100,query_tps100,
/node-besu8,0.017916666666666668,0.014583333333333332,0.836,0.836,0.00,0.00,200,0.00,10n-5s-qbft-v26.2.0_20260404_161434,query,100,query_tps100,
/node-besu3,0.017916666666666668,0.015,0.849,0.849,0.00,0.00,204,0.00,10n-5s-qbft-v26.2.0_20260404_161434,query,100,query_tps100,
/node-besu1,0.049999999999999996,0.0325,1.45,1.45,0.00,0.00,668,0.00,10n-5s-qbft-v26.2.0_20260404_161434,query,100,query_tps100,
/node-besu9,0.018333333333333333,0.015,1.05,1.05,0.00,0.00,228,0.00,10n-5s-qbft-v26.2.0_20260404_161434,query,100,query_tps100,
/node-besu2,0.01958333333333333,0.015,0.821,0.820,0.00,0.00,228,0.00,10n-5s-qbft-v26.2.0_20260404_161434,query,100,query_tps100,
/node-besu5,0.01875,0.015416666666666667,0.904,0.904,0.00,0.00,252,0.00,10n-5s-qbft-v26.2.0_20260404_161434,query,100,query_tps100,
/node-besu4,0.005,0.004166666666666667,0.836,0.835,0.00,0.00,,0.00,10n-5s-qbft-v26.2.0_20260404_161434,query,125,query_tps125,0.184
/node-besu10,0.021666666666666667,0.01,0.885,0.885,0.00,0.00,,0.00,10n-5s-qbft-v26.2.0_20260404_161434,query,125,query_tps125,0.246
/node-besu6,0.015833333333333335,0.005833333333333334,0.896,0.896,0.00,0.00,,0.00,10n-5s-qbft-v26.2.0_20260404_161434,query,125,query_tps125,0.191
/node-besu7,0.01916666666666667,0.009583333333333334,0.945,0.945,0.00,0.00,,0.00,10n-5s-qbft-v26.2.0_20260404_161434,query,125,query_tps125,0.289
/node-besu8,0.04,0.010416666666666666,0.837,0.835,0.00,0.00,,0.00,10n-5s-qbft-v26.2.0_20260404_161434,query,125,query_tps125,0.230
/node-besu3,0.018333333333333333,0.006666666666666667,0.848,0.848,0.00,0.00,,0.00,10n-5s-qbft-v26.2.0_20260404_161434,query,125,query_tps125,0.242
/node-besu1,0.03791666666666667,0.02291666666666667,1.45,1.45,0.00,0.00,,0.00,10n-5s-qbft-v26.2.0_20260404_161434,query,125,query_tps125,1.02
/node-besu9,0.017499999999999998,0.005833333333333334,1.05,1.05,0.00,0.00,,0.00,10n-5s-qbft-v26.2.0_20260404_161434,query,125,query_tps125,0.281
/node-besu2,0.017083333333333332,0.0062499999999999995,0.820,0.820,0.00,0.00,,0.00,10n-5s-qbft-v26.2.0_20260404_161434,query,125,query_tps125,0.195
/node-besu5,0.015833333333333335,0.005833333333333334,0.904,0.903,0.00,0.00,,0.00,10n-5s-qbft-v26.2.0_20260404_161434,query,125,query_tps125,0.227
/node-besu4,0.06999999999999999,0.020416666666666666,0.837,0.836,0.00,0.00,276,0.00,10n-5s-qbft-v26.2.0_20260404_161434,query,150,query_tps150,
/node-besu10,0.005,0.0033333333333333335,0.885,0.885,0.00,0.00,256,0.00,10n-5s-qbft-v26.2.0_20260404_161434,query,150,query_tps150,
/node-besu6,0.01375,0.005833333333333334,0.896,0.896,0.00,0.00,272,0.00,10n-5s-qbft-v26.2.0_20260404_161434,query,150,query_tps150,
/node-besu7,0.010416666666666666,0.005,0.945,0.945,0.00,0.00,228,0.00,10n-5s-qbft-v26.2.0_20260404_161434,query,150,query_tps150,
/node-besu8,0.005,0.00375,0.835,0.835,0.00,0.00,260,0.00,10n-5s-qbft-v26.2.0_20260404_161434,query,150,query_tps150,
/node-besu3,0.005416666666666667,0.004166666666666667,0.848,0.848,0.00,0.00,232,0.00,10n-5s-qbft-v26.2.0_20260404_161434,query,150,query_tps150,
/node-besu1,0.03208333333333333,0.01625,1.45,1.45,0.00,0.00,748,0.00,10n-5s-qbft-v26.2.0_20260404_161434,query,150,query_tps150,
/node-besu9,0.005833333333333334,0.0033333333333333335,1.05,1.05,0.00,0.00,212,0.00,10n-5s-qbft-v26.2.0_20260404_161434,query,150,query_tps150,
/node-besu2,0.023749999999999997,0.008333333333333333,0.821,0.820,0.00,0.00,312,0.00,10n-5s-qbft-v26.2.0_20260404_161434,query,150,query_tps150,
/node-besu5,0.009583333333333334,0.004583333333333333,0.904,0.904,0.00,0.00,232,0.00,10n-5s-qbft-v26.2.0_20260404_161434,query,150,query_tps150,
/node-besu4,0.016666666666666666,0.006666666666666667,0.837,0.837,0.00,0.00,196,0.00,10n-5s-qbft-v26.2.0_20260404_161434,query,175,query_tps175,
/node-besu10,0.00375,0.0033333333333333335,0.886,0.885,0.00,0.00,152,0.00,10n-5s-qbft-v26.2.0_20260404_161434,query,175,query_tps175,
/node-besu6,0.0033333333333333335,0.0033333333333333335,0.896,0.896,0.00,0.00,184,0.00,10n-5s-qbft-v26.2.0_20260404_161434,query,175,query_tps175,
/node-besu7,0.00375,0.0033333333333333335,0.945,0.945,0.00,0.00,192,0.00,10n-5s-qbft-v26.2.0_20260404_161434,query,175,query_tps175,
/node-besu8,0.0033333333333333335,0.0033333333333333335,0.835,0.835,0.00,0.00,192,0.00,10n-5s-qbft-v26.2.0_20260404_161434,query,175,query_tps175,
/node-besu3,0.00375,0.0033333333333333335,0.848,0.848,0.00,0.00,196,0.00,10n-5s-qbft-v26.2.0_20260404_161434,query,175,query_tps175,
/node-besu1,0.030833333333333334,0.014166666666666668,1.45,1.45,0.00,0.00,508,0.00,10n-5s-qbft-v26.2.0_20260404_161434,query,175,query_tps175,
/node-besu9,0.0033333333333333335,0.002916666666666667,1.05,1.05,0.00,0.00,112,0.00,10n-5s-qbft-v26.2.0_20260404_161434,query,175,query_tps175,
/node-besu2,0.00375,0.0033333333333333335,0.821,0.820,0.00,0.00,192,0.00,10n-5s-qbft-v26.2.0_20260404_161434,query,175,query_tps175,
/node-besu5,0.00375,0.0033333333333333335,0.904,0.904,0.00,0.00,264,0.00,10n-5s-qbft-v26.2.0_20260404_161434,query,175,query_tps175,
/node-besu4,0.034583333333333334,0.022500000000000003,0.837,0.837,0.00,0.00,144,0.00,10n-5s-qbft-v26.2.0_20260404_161434,query,200,query_tps200,
/node-besu10,0.005,0.004583333333333333,0.886,0.886,0.00,0.00,88.0,0.00,10n-5s-qbft-v26.2.0_20260404_161434,query,200,query_tps200,
/node-besu6,0.004583333333333333,0.004583333333333333,0.896,0.896,0.00,0.00,84.0,0.00,10n-5s-qbft-v26.2.0_20260404_161434,query,200,query_tps200,
/node-besu7,0.008749999999999999,0.005416666666666667,0.945,0.945,0.00,0.00,96.0,0.00,10n-5s-qbft-v26.2.0_20260404_161434,query,200,query_tps200,
/node-besu8,0.004583333333333333,0.004166666666666667,0.836,0.836,0.00,0.00,84.0,0.00,10n-5s-qbft-v26.2.0_20260404_161434,query,200,query_tps200,
