Name,CPU%(max),CPU%(avg),Memory(max) [GB],Memory(avg) [GB],Traffic In [B],Traffic Out [B],Disc Write [MB],Disc Read [B],Experiment,TestType,TPS,Report
/node-besu1,0.5108333333333334,0.12125000000000001,1.74,1.73,0.00,0.00,3.39,0.00,6n-25s-ibft-v26.2.0_20260404_222349,transfer,100,transfer_tps100
/node-besu4,0.07375,0.021666666666666667,0.618,0.569,0.00,0.00,1.46,0.00,6n-25s-ibft-v26.2.0_20260404_222349,transfer,100,transfer_tps100
/node-besu6,0.07416666666666667,0.02,0.631,0.565,0.00,0.00,3.54,0.00,6n-25s-ibft-v26.2.0_20260404_222349,transfer,100,transfer_tps100
/node-besu5,0.07541666666666667,0.01958333333333333,0.914,0.913,0.00,0.00,1.12,0.00,6n-25s-ibft-v26.2.0_20260404_222349,transfer,100,transfer_tps100
/node-besu3,0.07458333333333333,0.022083333333333333,0.700,0.625,0.00,0.00,2.56,0.00,6n-25s-ibft-v26.2.0_20260404_222349,transfer,100,transfer_tps100
/node-besu2,0.07458333333333333,0.02291666666666667,0.652,0.612,0.00,0.00,2.85,0.00,6n-25s-ibft-v26.2.0_20260404_222349,transfer,100,transfer_tps100
/node-besu1,0.3545833333333333,0.11166666666666668,1.74,1.65,0.00,0.00,3.24,0.00,6n-25s-ibft-v26.2.0_20260404_222349,transfer,125,transfer_tps125
/node-besu4,0.6754166666666667,0.09250000000000001,0.617,0.598,0.00,0.00,2.69,0.00,6n-25s-ibft-v26.2.0_20260404_222349,transfer,125,transfer_tps125
/node-besu6,0.3720833333333333,0.059166666666666666,0.819,0.643,0.00,0.00,2.75,0.00,6n-25s-ibft-v26.2.0_20260404_222349,transfer,125,transfer_tps125
/node-besu5,0.24625,0.044583333333333336,0.915,0.914,0.00,0.00,0.594,0.00,6n-25s-ibft-v26.2.0_20260404_222349,transfer,125,transfer_tps125
/node-besu3,0.5054166666666667,0.07791666666666668,0.722,0.681,0.00,0.00,1.51,0.00,6n-25s-ibft-v26.2.0_20260404_222349,transfer,125,transfer_tps125
/node-besu2,0.6820833333333334,0.1075,0.891,0.792,0.00,0.00,2.63,0.00,6n-25s-ibft-v26.2.0_20260404_222349,transfer,125,transfer_tps125
/node-besu1,0.2304166666666667,0.065,1.64,1.63,0.00,0.00,2.29,0.00,6n-25s-ibft-v26.2.0_20260404_222349,transfer,150,transfer_tps150
/node-besu4,0.1758333333333333,0.02291666666666667,0.738,0.607,0.00,0.00,2.81,0.00,6n-25s-ibft-v26.2.0_20260404_222349,transfer,150,transfer_tps150
/node-besu6,0.07333333333333333,0.011666666666666667,0.902,0.772,0.00,0.00,2.42,0.00,6n-25s-ibft-v26.2.0_20260404_222349,transfer,150,transfer_tps150
/node-besu5,0.06958333333333333,0.010833333333333334,0.915,0.915,0.00,0.00,1.29,0.00,6n-25s-ibft-v26.2.0_20260404_222349,transfer,150,transfer_tps150
/node-besu3,0.06833333333333333,0.010833333333333334,0.721,0.641,0.00,0.00,2.54,0.00,6n-25s-ibft-v26.2.0_20260404_222349,transfer,150,transfer_tps150
/node-besu2,0.06999999999999999,0.010833333333333334,0.891,0.807,0.00,0.00,2.80,0.00,6n-25s-ibft-v26.2.0_20260404_222349,transfer,150,transfer_tps150
/node-besu1,0.31958333333333333,0.12291666666666667,1.73,1.67,0.00,0.00,2.52,0.00,6n-25s-ibft-v26.2.0_20260404_222349,transfer,175,transfer_tps175
/node-besu4,0.5187499999999999,0.08333333333333333,0.672,0.596,0.00,0.00,2.41,0.00,6n-25s-ibft-v26.2.0_20260404_222349,transfer,175,transfer_tps175
/node-besu6,0.55625,0.09083333333333334,0.618,0.580,0.00,0.00,2.29,0.00,6n-25s-ibft-v26.2.0_20260404_222349,transfer,175,transfer_tps175
/node-besu5,0.31666666666666665,0.05291666666666667,0.916,0.915,0.00,0.00,1.05,0.00,6n-25s-ibft-v26.2.0_20260404_222349,transfer,175,transfer_tps175
/node-besu3,0.45125,0.06375,0.847,0.684,0.00,0.00,2.40,0.00,6n-25s-ibft-v26.2.0_20260404_222349,transfer,175,transfer_tps175
/node-besu2,0.5750000000000001,0.08541666666666665,0.682,0.645,0.00,0.00,2.22,0.00,6n-25s-ibft-v26.2.0_20260404_222349,transfer,175,transfer_tps175
/node-besu1,0.22708333333333333,0.135,1.74,1.70,0.00,0.00,3.07,0.00,6n-25s-ibft-v26.2.0_20260404_222349,transfer,200,transfer_tps200
/node-besu4,0.15416666666666667,0.037083333333333336,0.667,0.634,0.00,0.00,2.04,0.00,6n-25s-ibft-v26.2.0_20260404_222349,transfer,200,transfer_tps200
/node-besu6,0.41875,0.07791666666666668,0.737,0.663,0.00,0.00,2.05,0.00,6n-25s-ibft-v26.2.0_20260404_222349,transfer,200,transfer_tps200
