Name,CPU%(max),CPU%(avg),Memory(max) [MB],Memory(avg) [MB],Traffic In [B],Traffic Out [B],Disc Write [MB],Disc Read [B],Report,TPS,Disc Write [KB]
/node-besu6,0.3095833333333333,0.06791666666666667,511,476,0.00,0.00,1.34,0.00,open_report,0,
/node-besu1,0.4575,0.15833333333333333,934,672,0.00,0.00,0.852,0.00,open_report,0,
/node-besu3,0.44916666666666666,0.09333333333333334,586,579,0.00,0.00,1.30,0.00,open_report,0,
/node-besu2,0.4683333333333333,0.10291666666666667,493,480,0.00,0.00,1.32,0.00,open_report,0,
/node-besu4,0.4675,0.09833333333333333,490,480,0.00,0.00,1.33,0.00,open_report,0,
/node-besu5,1.0495833333333333,0.21541666666666667,541,531,0.00,0.00,1.34,0.00,open_report,0,
/node-besu6,0.006666666666666667,0.005,539,539,0.00,0.00,,0.00,query_report,0,36.0
/node-besu1,0.004583333333333333,0.004166666666666667,935,934,0.00,0.00,,0.00,query_report,0,188
/node-besu3,0.002916666666666667,0.002916666666666667,584,584,0.00,0.00,,0.00,query_report,0,36.0
/node-besu2,0.0033333333333333335,0.002916666666666667,493,493,0.00,0.00,,0.00,query_report,0,36.0
/node-besu4,0.004166666666666667,0.00375,514,506,0.00,0.00,,0.00,query_report,0,32.0
/node-besu5,0.00375,0.0033333333333333335,542,542,0.00,0.00,,0.00,query_report,0,32.0
/node-besu6,0.028749999999999998,0.015833333333333335,544,541,0.00,0.00,,0.00,transfer_report,0,48.0
/node-besu1,0.002916666666666667,0.002916666666666667,946,940,0.00,0.00,,0.00,transfer_report,0,72.0
/node-besu3,0.002916666666666667,0.0025,587,586,0.00,0.00,,0.00,transfer_report,0,40.0
/node-besu2,0.00375,0.0033333333333333335,495,494,0.00,0.00,,0.00,transfer_report,0,76.0
/node-besu4,0.0033333333333333335,0.002916666666666667,524,523,0.00,0.00,,0.00,transfer_report,0,72.0
/node-besu5,0.0062499999999999995,0.004583333333333333,545,543,0.00,0.00,,0.00,transfer_report,0,48.0
