Name,CPU%(max),CPU%(avg),Memory(max) [GB],Memory(avg) [MB],Traffic In [B],Traffic Out [B],Disc Write [MB],Disc Read [B],Experiment,TestType,TPS,Report,Memory(avg) [GB],Disc Write [KB]
/node-besu1,0.42791666666666667,0.26875,1.06,699,0.00,0.00,2.39,0.00,12n-5s-qbft-v26.2.0_20260330_224545,open,150,open_tps150,,
/node-besu9,0.3675,0.21875,0.722,608,0.00,0.00,0.809,0.00,12n-5s-qbft-v26.2.0_20260330_224545,open,150,open_tps150,,
/node-besu5,0.3666666666666667,0.23083333333333333,0.616,561,0.00,0.00,1.81,0.00,12n-5s-qbft-v26.2.0_20260330_224545,open,150,open_tps150,,
/node-besu3,0.39999999999999997,0.24416666666666667,0.616,549,0.00,0.00,0.0156,0.00,12n-5s-qbft-v26.2.0_20260330_224545,open,150,open_tps150,,
/node-besu12,0.35958333333333337,0.22041666666666668,0.638,608,0.00,0.00,0.199,0.00,12n-5s-qbft-v26.2.0_20260330_224545,open,150,open_tps150,,
/node-besu6,0.35125,0.22458333333333333,0.693,622,0.00,0.00,1.36,0.00,12n-5s-qbft-v26.2.0_20260330_224545,open,150,open_tps150,,
/node-besu2,0.385,0.24291666666666667,0.731,654,0.00,0.00,1.71,0.00,12n-5s-qbft-v26.2.0_20260330_224545,open,150,open_tps150,,
/node-besu7,0.3620833333333333,0.22833333333333336,0.740,664,0.00,0.00,1.70,0.00,12n-5s-qbft-v26.2.0_20260330_224545,open,150,open_tps150,,
/node-besu8,0.35791666666666666,0.22916666666666666,0.510,482,0.00,0.00,0.598,0.00,12n-5s-qbft-v26.2.0_20260330_224545,open,150,open_tps150,,
/node-besu10,0.3529166666666667,0.23124999999999998,0.783,666,0.00,0.00,0.938,0.00,12n-5s-qbft-v26.2.0_20260330_224545,open,150,open_tps150,,
/node-besu11,0.3675,0.22708333333333333,0.632,567,0.00,0.00,0.215,0.00,12n-5s-qbft-v26.2.0_20260330_224545,open,150,open_tps150,,
/node-besu4,0.38958333333333334,0.23958333333333334,0.666,627,0.00,0.00,1.67,0.00,12n-5s-qbft-v26.2.0_20260330_224545,open,150,open_tps150,,
/node-besu1,0.3133333333333333,0.14291666666666666,1.19,,0.00,0.00,1.38,0.00,12n-5s-qbft-v26.2.0_20260330_224545,open,160,open_tps160,1.18,
/node-besu9,0.17791666666666664,0.04708333333333333,1.05,,0.00,0.00,0.594,0.00,12n-5s-qbft-v26.2.0_20260330_224545,open,160,open_tps160,0.984,
/node-besu5,0.37833333333333335,0.09749999999999999,0.740,,0.00,0.00,0.844,0.00,12n-5s-qbft-v26.2.0_20260330_224545,open,160,open_tps160,0.679,
/node-besu3,0.21375,0.08583333333333333,0.697,,0.00,0.00,0.430,0.00,12n-5s-qbft-v26.2.0_20260330_224545,open,160,open_tps160,0.664,
/node-besu12,0.050416666666666665,0.015833333333333335,0.705,,0.00,0.00,0.801,0.00,12n-5s-qbft-v26.2.0_20260330_224545,open,160,open_tps160,0.672,
/node-besu6,0.24416666666666667,0.11708333333333333,0.705,,0.00,0.00,0.852,0.00,12n-5s-qbft-v26.2.0_20260330_224545,open,160,open_tps160,0.704,
