Name,Succ,Fail,Send Rate (TPS),Max Latency (s),Min Latency (s),Avg Latency (s),Throughput (TPS),Experiment,TestType,TPS,Report
open,2000,0,100.1,21.92,12.06,17.29,62.4,6n-15s-ibft-v26.2.0_20260404_213333,open,100,open_tps100
open,2000,0,125.1,17.65,3.81,11.99,68.7,6n-15s-ibft-v26.2.0_20260404_213333,open,125,open_tps125
open,2000,0,150.1,17.69,0.27,15.99,66.7,6n-15s-ibft-v26.2.0_20260404_213333,open,150,open_tps150
open,2000,0,175.2,15.53,11.74,12.59,77.3,6n-15s-ibft-v26.2.0_20260404_213333,open,175,open_tps175
open,2000,0,192.0,18.67,8.91,11.44,82.5,6n-15s-ibft-v26.2.0_20260404_213333,open,200,open_tps200
open,2000,0,225.2,15.29,9.52,11.63,85.4,6n-15s-ibft-v26.2.0_20260404_213333,open,225,open_tps225
open,2000,0,250.3,16.84,2.69,11.57,80.6,6n-15s-ibft-v26.2.0_20260404_213333,open,250,open_tps250
open,2000,0,275.3,16.72,3.12,11.25,83.4,6n-15s-ibft-v26.2.0_20260404_213333,open,275,open_tps275
open,2000,0,300.4,17.25,2.30,11.47,83.6,6n-15s-ibft-v26.2.0_20260404_213333,open,300,open_tps300
