Name,CPU%(max),CPU%(avg),Memory(max) [MB],Memory(avg) [MB],Traffic In [B],Traffic Out [B],Disc Write [MB],Disc Read [B],Experiment,TestType,TPS,Report,Memory(max) [GB],Memory(avg) [GB],Disc Write [KB]
/node-besu6,0.0008333333333333334,0.0004166666666666667,,,0.00,0.00,,0.00,6n-5s-ibft-v24.6.0_20260331_035741,open,200,open_tps200,0.613,0.612,804
/node-besu3,0.0004166666666666667,0.0004166666666666667,,,0.00,0.00,,0.00,6n-5s-ibft-v24.6.0_20260331_035741,open,200,open_tps200,0.614,0.614,16.0
/node-besu5,0.0004166666666666667,0.0004166666666666667,,,0.00,0.00,,0.00,6n-5s-ibft-v24.6.0_20260331_035741,open,200,open_tps200,0.632,0.632,0.00
/node-besu4,0.0004166666666666667,0.0004166666666666667,,,0.00,0.00,,0.00,6n-5s-ibft-v24.6.0_20260331_035741,open,200,open_tps200,0.640,0.640,804
/node-besu2,0.0004166666666666667,0.0004166666666666667,,,0.00,0.00,,0.00,6n-5s-ibft-v24.6.0_20260331_035741,open,200,open_tps200,0.629,0.628,804
/node-besu1,0.36833333333333335,0.12541666666666665,,,0.00,0.00,,0.00,6n-5s-ibft-v24.6.0_20260331_035741,open,210,open_tps210,1.22,1.22,900
/node-besu6,0.0004166666666666667,0.0004166666666666667,,,0.00,0.00,,0.00,6n-5s-ibft-v24.6.0_20260331_035741,open,210,open_tps210,0.614,0.613,900
/node-besu3,0.0008333333333333334,0.0004166666666666667,,,0.00,0.00,,0.00,6n-5s-ibft-v24.6.0_20260331_035741,open,210,open_tps210,0.616,0.616,16.0
/node-besu5,0.0016666666666666668,0.0008333333333333334,,,0.00,0.00,,0.00,6n-5s-ibft-v24.6.0_20260331_035741,open,210,open_tps210,0.633,0.633,0.00
/node-besu4,0.0004166666666666667,0.0004166666666666667,,,0.00,0.00,,0.00,6n-5s-ibft-v24.6.0_20260331_035741,open,210,open_tps210,0.641,0.641,900
/node-besu2,0.0025,0.0016666666666666668,,,0.00,0.00,,0.00,6n-5s-ibft-v24.6.0_20260331_035741,open,210,open_tps210,0.630,0.629,900
/node-besu1,0.24375,0.08458333333333333,,,0.00,0.00,,0.00,6n-5s-ibft-v24.6.0_20260331_035741,open,220,open_tps220,1.39,1.33,936
/node-besu6,0.0004166666666666667,0.0004166666666666667,,,0.00,0.00,,0.00,6n-5s-ibft-v24.6.0_20260331_035741,open,220,open_tps220,0.614,0.614,16.0
/node-besu3,0.0008333333333333334,0.0004166666666666667,,,0.00,0.00,,0.00,6n-5s-ibft-v24.6.0_20260331_035741,open,220,open_tps220,0.618,0.617,16.0
/node-besu5,0.0008333333333333334,0.0004166666666666667,,,0.00,0.00,,0.00,6n-5s-ibft-v24.6.0_20260331_035741,open,220,open_tps220,0.634,0.633,0.00
/node-besu4,0.0008333333333333334,0.0004166666666666667,,,0.00,0.00,,0.00,6n-5s-ibft-v24.6.0_20260331_035741,open,220,open_tps220,0.642,0.642,936
/node-besu2,0.0008333333333333334,0.0004166666666666667,,,0.00,0.00,,0.00,6n-5s-ibft-v24.6.0_20260331_035741,open,220,open_tps220,0.630,0.630,936
