Name,CPU%(max),CPU%(avg),Memory(max) [GB],Memory(avg) [GB],Traffic In [B],Traffic Out [B],Disc Write [KB],Disc Read [B],Experiment,TestType,TPS,Report
/node-besu5,0.01958333333333333,0.011250000000000001,0.725,0.725,0.00,0.00,44.0,0.00,8n-5s-ibft-v26.2.0_20260330_232730,query,325,query_tps325
/node-besu3,0.017916666666666668,0.017083333333333332,0.758,0.757,0.00,0.00,40.0,0.00,8n-5s-ibft-v26.2.0_20260330_232730,query,325,query_tps325
/node-besu7,0.015416666666666667,0.012916666666666667,0.725,0.725,0.00,0.00,48.0,0.00,8n-5s-ibft-v26.2.0_20260330_232730,query,325,query_tps325
/node-besu2,0.01625,0.009583333333333334,0.695,0.694,0.00,0.00,216,0.00,8n-5s-ibft-v26.2.0_20260330_232730,query,325,query_tps325
/node-besu8,0.01625,0.009583333333333334,0.659,0.658,0.00,0.00,44.0,0.00,8n-5s-ibft-v26.2.0_20260330_232730,query,325,query_tps325
/node-besu1,0.01625,0.010833333333333334,1.24,1.23,0.00,0.00,208,0.00,8n-5s-ibft-v26.2.0_20260330_232730,query,325,query_tps325
/node-besu4,0.014166666666666668,0.008333333333333333,0.654,0.653,0.00,0.00,0.00,0.00,8n-5s-ibft-v26.2.0_20260330_232730,query,325,query_tps325
/node-besu6,0.015833333333333335,0.009583333333333334,0.669,0.669,0.00,0.00,48.0,0.00,8n-5s-ibft-v26.2.0_20260330_232730,query,325,query_tps325
/node-besu5,0.021666666666666667,0.012083333333333333,0.725,0.725,0.00,0.00,108,0.00,8n-5s-ibft-v26.2.0_20260330_232730,query,350,query_tps350
/node-besu3,0.0033333333333333335,0.0033333333333333335,0.758,0.757,0.00,0.00,100,0.00,8n-5s-ibft-v26.2.0_20260330_232730,query,350,query_tps350
/node-besu7,0.004583333333333333,0.00375,0.725,0.725,0.00,0.00,108,0.00,8n-5s-ibft-v26.2.0_20260330_232730,query,350,query_tps350
/node-besu2,0.00375,0.0033333333333333335,0.694,0.694,0.00,0.00,0.00,0.00,8n-5s-ibft-v26.2.0_20260330_232730,query,350,query_tps350
/node-besu8,0.0033333333333333335,0.002916666666666667,0.658,0.658,0.00,0.00,92.0,0.00,8n-5s-ibft-v26.2.0_20260330_232730,query,350,query_tps350
/node-besu1,0.005,0.004166666666666667,1.24,1.24,0.00,0.00,280,0.00,8n-5s-ibft-v26.2.0_20260330_232730,query,350,query_tps350
/node-besu4,0.00375,0.0033333333333333335,0.654,0.654,0.00,0.00,0.00,0.00,8n-5s-ibft-v26.2.0_20260330_232730,query,350,query_tps350
/node-besu6,0.0033333333333333335,0.0033333333333333335,0.669,0.669,0.00,0.00,108,0.00,8n-5s-ibft-v26.2.0_20260330_232730,query,350,query_tps350
/node-besu5,0.002916666666666667,0.002916666666666667,0.724,0.724,0.00,0.00,44.0,0.00,8n-5s-ibft-v26.2.0_20260330_232730,query,375,query_tps375
/node-besu3,0.02,0.011250000000000001,0.757,0.757,0.00,0.00,40.0,0.00,8n-5s-ibft-v26.2.0_20260330_232730,query,375,query_tps375
/node-besu7,0.024166666666666666,0.013333333333333334,0.725,0.725,0.00,0.00,48.0,0.00,8n-5s-ibft-v26.2.0_20260330_232730,query,375,query_tps375
/node-besu2,0.041666666666666664,0.022083333333333333,0.694,0.694,0.00,0.00,92.0,0.00,8n-5s-ibft-v26.2.0_20260330_232730,query,375,query_tps375
/node-besu8,0.01875,0.011250000000000001,0.657,0.657,0.00,0.00,44.0,0.00,8n-5s-ibft-v26.2.0_20260330_232730,query,375,query_tps375
/node-besu1,0.02125,0.012083333333333333,1.24,1.23,0.00,0.00,104,0.00,8n-5s-ibft-v26.2.0_20260330_232730,query,375,query_tps375
/node-besu4,0.03666666666666667,0.02,0.653,0.653,0.00,0.00,116,0.00,8n-5s-ibft-v26.2.0_20260330_232730,query,375,query_tps375
/node-besu6,0.0375,0.02,0.669,0.668,0.00,0.00,44.0,0.00,8n-5s-ibft-v26.2.0_20260330_232730,query,375,query_tps375
/node-besu5,0.00375,0.0033333333333333335,0.724,0.724,0.00,0.00,92.0,0.00,8n-5s-ibft-v26.2.0_20260330_232730,query,400,query_tps400
/node-besu3,0.004583333333333333,0.00375,0.757,0.757,0.00,0.00,48.0,0.00,8n-5s-ibft-v26.2.0_20260330_232730,query,400,query_tps400
/node-besu7,0.004166666666666667,0.0033333333333333335,0.725,0.725,0.00,0.00,48.0,0.00,8n-5s-ibft-v26.2.0_20260330_232730,query,400,query_tps400
/node-besu2,0.004583333333333333,0.00375,0.694,0.694,0.00,0.00,48.0,0.00,8n-5s-ibft-v26.2.0_20260330_232730,query,400,query_tps400
/node-besu8,0.004583333333333333,0.00375,0.657,0.657,0.00,0.00,48.0,0.00,8n-5s-ibft-v26.2.0_20260330_232730,query,400,query_tps400
/node-besu1,0.004583333333333333,0.004166666666666667,1.23,1.23,0.00,0.00,196,0.00,8n-5s-ibft-v26.2.0_20260330_232730,query,400,query_tps400
