Name,CPU%(max),CPU%(avg),Memory(max) [MB],Memory(avg) [MB],Traffic In [B],Traffic Out [B],Disc Write [MB],Disc Read [B],Experiment,TestType,TPS,Report,Memory(max) [GB],Memory(avg) [GB]
/node-besu2,0.6916666666666668,0.19041666666666668,584,578,0.00,0.00,0.672,0.00,6n-20s-ibft-v26.2.0_20260331_015014,open,150,open_tps150,,
/node-besu5,0.47,0.08583333333333333,550,523,0.00,0.00,0.594,0.00,6n-20s-ibft-v26.2.0_20260331_015014,open,150,open_tps150,,
/node-besu6,0.6733333333333333,0.10833333333333334,599,506,0.00,0.00,1.15,0.00,6n-20s-ibft-v26.2.0_20260331_015014,open,150,open_tps150,,
/node-besu1,0.6475,0.16166666666666665,859,707,0.00,0.00,1.78,0.00,6n-20s-ibft-v26.2.0_20260331_015014,open,150,open_tps150,,
/node-besu3,0.5825,0.11708333333333333,541,489,0.00,0.00,1.53,0.00,6n-20s-ibft-v26.2.0_20260331_015014,open,150,open_tps150,,
/node-besu4,0.7791666666666667,0.12125000000000001,576,492,0.00,0.00,0.207,0.00,6n-20s-ibft-v26.2.0_20260331_015014,open,150,open_tps150,,
/node-besu2,0.21291666666666667,0.03791666666666667,,588,0.00,0.00,0.664,0.00,6n-20s-ibft-v26.2.0_20260331_015014,open,160,open_tps160,0.579,
/node-besu5,0.03125,0.010416666666666666,,552,0.00,0.00,0.297,0.00,6n-20s-ibft-v26.2.0_20260331_015014,open,160,open_tps160,0.541,
/node-besu6,0.0825,0.01625,,489,0.00,0.00,0.570,0.00,6n-20s-ibft-v26.2.0_20260331_015014,open,160,open_tps160,0.585,
/node-besu1,0.24041666666666664,0.075,,948,0.00,0.00,1.77,0.00,6n-20s-ibft-v26.2.0_20260331_015014,open,160,open_tps160,1.10,
/node-besu3,0.05666666666666667,0.011666666666666667,,507,0.00,0.00,0.910,0.00,6n-20s-ibft-v26.2.0_20260331_015014,open,160,open_tps160,0.511,
/node-besu4,0.06708333333333334,0.013333333333333334,,617,0.00,0.00,0.289,0.00,6n-20s-ibft-v26.2.0_20260331_015014,open,160,open_tps160,0.614,
/node-besu2,0.17791666666666664,0.03791666666666667,,,0.00,0.00,0.648,0.00,6n-20s-ibft-v26.2.0_20260331_015014,open,170,open_tps170,0.595,0.586
/node-besu5,0.24916666666666668,0.05583333333333334,,,0.00,0.00,0.770,0.00,6n-20s-ibft-v26.2.0_20260331_015014,open,170,open_tps170,0.578,0.553
/node-besu6,0.0675,0.017916666666666668,,,0.00,0.00,0.410,0.00,6n-20s-ibft-v26.2.0_20260331_015014,open,170,open_tps170,0.586,0.509
/node-besu1,0.5583333333333333,0.11458333333333333,,,0.00,0.00,1.76,0.00,6n-20s-ibft-v26.2.0_20260331_015014,open,170,open_tps170,1.13,1.11
/node-besu3,0.011250000000000001,0.005416666666666667,,,0.00,0.00,0.137,0.00,6n-20s-ibft-v26.2.0_20260331_015014,open,170,open_tps170,0.568,0.554
/node-besu4,0.055,0.013333333333333334,,,0.00,0.00,0.313,0.00,6n-20s-ibft-v26.2.0_20260331_015014,open,170,open_tps170,0.620,0.616
/node-besu2,0.11291666666666667,0.024999999999999998,,,0.00,0.00,0.707,0.00,6n-20s-ibft-v26.2.0_20260331_015014,open,180,open_tps180,0.597,0.597
/node-besu5,0.005,0.0033333333333333335,,,0.00,0.00,0.656,0.00,6n-20s-ibft-v26.2.0_20260331_015014,open,180,open_tps180,0.564,0.564
/node-besu6,0.011250000000000001,0.005833333333333334,,,0.00,0.00,0.781,0.00,6n-20s-ibft-v26.2.0_20260331_015014,open,180,open_tps180,0.636,0.547
/node-besu1,0.25,0.05333333333333334,,,0.00,0.00,1.72,0.00,6n-20s-ibft-v26.2.0_20260331_015014,open,180,open_tps180,1.18,1.15
/node-besu3,0.6379166666666667,0.13208333333333333,,,0.00,0.00,1.45,0.00,6n-20s-ibft-v26.2.0_20260331_015014,open,180,open_tps180,0.611,0.578
/node-besu4,0.36874999999999997,0.07625,,,0.00,0.00,0.246,0.00,6n-20s-ibft-v26.2.0_20260331_015014,open,180,open_tps180,0.677,0.641
/node-besu2,0.10666666666666667,0.04125,,,0.00,0.00,0.410,0.00,6n-20s-ibft-v26.2.0_20260331_015014,open,190,open_tps190,0.644,0.617
/node-besu5,0.00375,0.0033333333333333335,,,0.00,0.00,0.410,0.00,6n-20s-ibft-v26.2.0_20260331_015014,open,190,open_tps190,0.565,0.564
/node-besu6,0.004583333333333333,0.00375,,,0.00,0.00,0.684,0.00,6n-20s-ibft-v26.2.0_20260331_015014,open,190,open_tps190,0.642,0.561
/node-besu1,0.22416666666666665,0.047499999999999994,,,0.00,0.00,1.41,0.00,6n-20s-ibft-v26.2.0_20260331_015014,open,190,open_tps190,1.19,1.18
/node-besu3,0.002916666666666667,0.002916666666666667,,,0.00,0.00,0.746,0.00,6n-20s-ibft-v26.2.0_20260331_015014,open,190,open_tps190,0.590,0.590
/node-besu4,0.0033333333333333335,0.002916666666666667,,,0.00,0.00,0.0156,0.00,6n-20s-ibft-v26.2.0_20260331_015014,open,190,open_tps190,0.663,0.663
/node-besu2,0.16375,0.0375,,,0.00,0.00,0.699,0.00,6n-20s-ibft-v26.2.0_20260331_015014,open,200,open_tps200,0.646,0.646
/node-besu5,0.0033333333333333335,0.002916666666666667,,,0.00,0.00,0.637,0.00,6n-20s-ibft-v26.2.0_20260331_015014,open,200,open_tps200,0.566,0.565
/node-besu6,0.34833333333333333,0.0725,,,0.00,0.00,0.395,0.00,6n-20s-ibft-v26.2.0_20260331_015014,open,200,open_tps200,0.554,0.501
/node-besu1,0.24083333333333334,0.0525,,,0.00,0.00,1.39,0.00,6n-20s-ibft-v26.2.0_20260331_015014,open,200,open_tps200,1.19,1.19
/node-besu3,0.004166666666666667,0.002916666666666667,,,0.00,0.00,0.219,0.00,6n-20s-ibft-v26.2.0_20260331_015014,open,200,open_tps200,0.591,0.591
/node-besu4,0.00375,0.002916666666666667,,,0.00,0.00,0.344,0.00,6n-20s-ibft-v26.2.0_20260331_015014,open,200,open_tps200,0.664,0.663
/node-besu2,0.015,0.0075,,,0.00,0.00,1.18,0.00,6n-20s-ibft-v26.2.0_20260331_015014,open,210,open_tps210,0.651,0.648
/node-besu5,0.004166666666666667,0.0033333333333333335,,,0.00,0.00,1.33,0.00,6n-20s-ibft-v26.2.0_20260331_015014,open,210,open_tps210,0.566,0.566
/node-besu6,0.012499999999999999,0.005,,,0.00,0.00,0.711,0.00,6n-20s-ibft-v26.2.0_20260331_015014,open,210,open_tps210,0.651,0.587
/node-besu1,0.4666666666666666,0.09583333333333333,,,0.00,0.00,1.59,0.00,6n-20s-ibft-v26.2.0_20260331_015014,open,210,open_tps210,1.19,1.19
/node-besu3,0.2754166666666667,0.057499999999999996,,,0.00,0.00,0.414,0.00,6n-20s-ibft-v26.2.0_20260331_015014,open,210,open_tps210,0.682,0.599
/node-besu4,0.26166666666666666,0.05458333333333334,,,0.00,0.00,0.203,0.00,6n-20s-ibft-v26.2.0_20260331_015014,open,210,open_tps210,0.664,0.664
/node-besu2,0.0033333333333333335,0.002916666666666667,,,0.00,0.00,0.730,0.00,6n-20s-ibft-v26.2.0_20260331_015014,open,220,open_tps220,0.653,0.652
/node-besu5,0.13,0.03666666666666667,,,0.00,0.00,0.688,0.00,6n-20s-ibft-v26.2.0_20260331_015014,open,220,open_tps220,0.567,0.567
/node-besu6,0.20291666666666666,0.05333333333333334,,,0.00,0.00,0.0156,0.00,6n-20s-ibft-v26.2.0_20260331_015014,open,220,open_tps220,0.559,0.508
/node-besu1,0.10125,0.03,,,0.00,0.00,1.05,0.00,6n-20s-ibft-v26.2.0_20260331_015014,open,220,open_tps220,1.19,1.19
/node-besu3,0.10958333333333332,0.03333333333333333,,,0.00,0.00,0.00,0.00,6n-20s-ibft-v26.2.0_20260331_015014,open,220,open_tps220,0.683,0.683
/node-besu4,0.12791666666666665,0.034166666666666665,,,0.00,0.00,0.242,0.00,6n-20s-ibft-v26.2.0_20260331_015014,open,220,open_tps220,0.666,0.665
