Name,Succ,Fail,Send Rate (TPS),Max Latency (s),Min Latency (s),Avg Latency (s),Throughput (TPS),Experiment,TestType,TPS,Report
open,2000,0,100.1,7.01,1.93,4.39,84.5,4n-5s-ibft-v26.2.0_20260404_165544,open,100,open_tps100
open,2000,0,125.1,5.92,0.84,3.86,102.8,4n-5s-ibft-v26.2.0_20260404_165544,open,125,open_tps125
open,2000,0,150.1,5.67,1.46,3.81,125.5,4n-5s-ibft-v26.2.0_20260404_165544,open,150,open_tps150
open,2000,0,175.2,5.93,0.67,4.07,135.1,4n-5s-ibft-v26.2.0_20260404_165544,open,175,open_tps175
open,2000,0,200.2,5.90,0.42,4.31,146.2,4n-5s-ibft-v26.2.0_20260404_165544,open,200,open_tps200
open,2000,0,225.2,9.36,0.73,5.11,115.5,4n-5s-ibft-v26.2.0_20260404_165544,open,225,open_tps225
open,2000,0,250.3,6.13,2.38,4.91,146.9,4n-5s-ibft-v26.2.0_20260404_165544,open,250,open_tps250
open,2000,0,275.3,9.21,3.58,6.26,126.0,4n-5s-ibft-v26.2.0_20260404_165544,open,275,open_tps275
open,2000,0,300.3,6.00,2.64,5.00,159.1,4n-5s-ibft-v26.2.0_20260404_165544,open,300,open_tps300
