Name,CPU%(max),CPU%(avg),Memory(max) [MB],Memory(avg) [MB],Traffic In [B],Traffic Out [B],Disc Write [MB],Disc Read [KB],Report,TPS,Disc Write [KB],Disc Read [B]
/node-besu6,0.7245833333333334,0.18708333333333335,512,501,0.00,0.00,0.473,0.00,open_report,0,,
/node-besu1,1.1270833333333334,0.32083333333333336,690,646,0.00,0.00,1.70,4.00,open_report,0,,
/node-besu2,0.13333333333333333,0.035416666666666666,538,507,0.00,0.00,1.27,0.00,open_report,0,,
/node-besu4,0.011666666666666667,0.005,568,540,0.00,0.00,1.24,8.00,open_report,0,,
/node-besu3,0.15875,0.07041666666666667,628,606,0.00,0.00,1.29,0.00,open_report,0,,
/node-besu5,0.08416666666666667,0.043333333333333335,575,537,0.00,0.00,1.23,0.00,open_report,0,,
/node-besu6,0.0033333333333333335,0.002916666666666667,515,513,0.00,0.00,,,query_report,0,16.0,0.00
/node-besu1,0.03666666666666667,0.02291666666666667,691,691,0.00,0.00,,,query_report,0,192,0.00
/node-besu2,0.014583333333333332,0.008749999999999999,538,538,0.00,0.00,,,query_report,0,0.00,0.00
/node-besu4,0.012083333333333333,0.0075,559,559,0.00,0.00,,,query_report,0,48.0,0.00
/node-besu3,0.014583333333333332,0.008749999999999999,628,628,0.00,0.00,,,query_report,0,44.0,0.00
/node-besu5,0.02,0.011250000000000001,576,576,0.00,0.00,,,query_report,0,48.0,0.00
/node-besu6,0.11875000000000001,0.06416666666666666,558,550,0.00,0.00,,,transfer_report,0,0.00,0.00
/node-besu1,0.16916666666666666,0.08583333333333333,694,693,0.00,0.00,,,transfer_report,0,156,0.00
/node-besu2,0.002916666666666667,0.002916666666666667,540,539,0.00,0.00,,,transfer_report,0,0.00,0.00
/node-besu4,0.002916666666666667,0.002916666666666667,562,561,0.00,0.00,,,transfer_report,0,128,0.00
/node-besu3,0.002916666666666667,0.0025,630,629,0.00,0.00,,,transfer_report,0,152,0.00
/node-besu5,0.00375,0.0033333333333333335,577,576,0.00,0.00,,,transfer_report,0,124,0.00
