Name,Succ,Fail,Send Rate (TPS),Max Latency (s),Min Latency (s),Avg Latency (s),Throughput (TPS),Report,TPS
transfer,50,0,51.3,47.64,46.68,47.15,1.0,transfer_report_50_20251108-181120,50
transfer,50,0,51.2,12.66,11.70,12.17,3.9,transfer_report_50_20251108-183925,50
transfer,50,0,51.3,45.55,44.59,45.06,1.1,transfer_report_50_20251108-182532,50
transfer,50,0,51.2,44.23,43.27,43.74,1.1,transfer_report_50_20251108-190623,50
transfer,50,0,61.6,36.73,35.94,36.32,1.4,transfer_report_60_20251108-182631,60
transfer,50,0,61.6,36.63,35.83,36.21,1.4,transfer_report_60_20251108-183951,60
transfer,50,0,61.6,36.75,35.95,36.33,1.4,transfer_report_60_20251108-181221,60
transfer,50,0,61.6,36.55,35.76,36.14,1.4,transfer_report_60_20251108-190721,60
transfer,50,0,71.7,36.73,36.05,36.36,1.4,transfer_report_70_20251108-190811,70
transfer,50,0,71.9,36.63,35.96,36.26,1.4,transfer_report_70_20251108-182721,70
transfer,50,0,71.9,36.50,35.83,36.13,1.4,transfer_report_70_20251108-184041,70
transfer,50,0,71.8,36.78,36.11,36.41,1.4,transfer_report_70_20251108-181311,70
transfer,50,0,82.5,21.62,21.04,21.25,2.3,transfer_report_80_20251108-184131,80
transfer,50,0,82.1,36.77,36.18,36.43,1.4,transfer_report_80_20251108-181401,80
transfer,50,0,82.5,36.67,36.08,36.32,1.4,transfer_report_80_20251108-190901,80
transfer,50,0,82.2,36.76,36.18,36.42,1.4,transfer_report_80_20251108-182811,80
transfer,50,0,92.6,36.86,36.34,36.53,1.4,transfer_report_90_20251108-190951,90
transfer,50,0,86.5,22.78,22.22,22.41,2.2,transfer_report_90_20251108-181451,90
transfer,50,0,91.2,36.61,36.08,36.27,1.4,transfer_report_90_20251108-182901,90
transfer,50,0,92.6,36.70,36.17,36.37,1.4,transfer_report_90_20251108-184221,90
transfer,50,0,93.6,22.49,21.97,22.15,2.2,transfer_report_100_20251108-191041,100
transfer,50,0,91.9,36.71,36.18,36.37,1.4,transfer_report_100_20251108-182951,100
transfer,50,0,93.8,36.72,36.20,36.39,1.4,transfer_report_100_20251108-184311,100
transfer,50,0,93.1,36.71,36.19,36.37,1.4,transfer_report_100_20251108-181541,100
transfer,50,0,91.9,36.73,36.20,36.39,1.4,transfer_report_110_20251108-184401,110
transfer,50,0,89.9,36.69,36.14,36.34,1.4,transfer_report_110_20251108-181631,110
transfer,50,0,92.1,36.44,35.92,36.10,1.4,transfer_report_110_20251108-191131,110
transfer,50,0,104.0,21.27,20.81,20.97,2.3,transfer_report_110_20251108-183041,110
