Name,CPU%(max),CPU%(avg),Memory(max) [MB],Memory(avg) [MB],Traffic In [B],Traffic Out [B],Disc Write [MB],Disc Read [B],Experiment,TestType,TPS,Report,Memory(max) [GB],Memory(avg) [GB]
/node-besu3,0.02,0.006666666666666667,,,0.00,0.00,0.789,0.00,6n-25s-qbft-v26.2.0_20260331_010003,open,200,open_tps200,0.744,0.743
/node-besu1,0.23666666666666666,0.03833333333333334,,,0.00,0.00,1.68,0.00,6n-25s-qbft-v26.2.0_20260331_010003,open,200,open_tps200,1.17,1.17
/node-besu4,0.02,0.006666666666666667,,,0.00,0.00,0.813,0.00,6n-25s-qbft-v26.2.0_20260331_010003,open,200,open_tps200,0.644,0.644
/node-besu2,0.014583333333333332,0.007083333333333334,,,0.00,0.00,0.852,0.00,6n-25s-qbft-v26.2.0_20260331_010003,open,200,open_tps200,0.615,0.537
/node-besu5,0.49500000000000005,0.08458333333333333,,,0.00,0.00,0.293,0.00,6n-25s-qbft-v26.2.0_20260331_010003,open,210,open_tps210,0.535,0.518
/node-besu6,0.35250000000000004,0.055,,,0.00,0.00,0.305,0.00,6n-25s-qbft-v26.2.0_20260331_010003,open,210,open_tps210,0.566,0.509
/node-besu3,0.19583333333333333,0.03291666666666667,,,0.00,0.00,0.766,0.00,6n-25s-qbft-v26.2.0_20260331_010003,open,210,open_tps210,0.745,0.744
/node-besu1,0.4566666666666667,0.06874999999999999,,,0.00,0.00,1.28,0.00,6n-25s-qbft-v26.2.0_20260331_010003,open,210,open_tps210,1.18,1.17
/node-besu4,0.24458333333333335,0.03791666666666667,,,0.00,0.00,0.793,0.00,6n-25s-qbft-v26.2.0_20260331_010003,open,210,open_tps210,0.645,0.644
/node-besu2,0.3958333333333333,0.05958333333333333,,,0.00,0.00,0.203,0.00,6n-25s-qbft-v26.2.0_20260331_010003,open,210,open_tps210,0.664,0.632
/node-besu5,0.4558333333333333,0.06874999999999999,,,0.00,0.00,0.691,0.00,6n-25s-qbft-v26.2.0_20260331_010003,open,220,open_tps220,0.616,0.546
/node-besu6,0.0525,0.013333333333333334,,,0.00,0.00,1.25,0.00,6n-25s-qbft-v26.2.0_20260331_010003,open,220,open_tps220,0.606,0.521
/node-besu3,0.025416666666666667,0.007916666666666667,,,0.00,0.00,0.246,0.00,6n-25s-qbft-v26.2.0_20260331_010003,open,220,open_tps220,0.745,0.744
/node-besu1,0.24333333333333332,0.04041666666666666,,,0.00,0.00,1.81,0.00,6n-25s-qbft-v26.2.0_20260331_010003,open,220,open_tps220,1.18,1.18
/node-besu4,0.02125,0.007916666666666667,,,0.00,0.00,0.305,0.00,6n-25s-qbft-v26.2.0_20260331_010003,open,220,open_tps220,0.645,0.542
/node-besu2,0.030416666666666665,0.013333333333333334,,,0.00,0.00,0.383,0.00,6n-25s-qbft-v26.2.0_20260331_010003,open,220,open_tps220,0.596,0.523
