Name,Succ,Fail,Send Rate (TPS),Max Latency (s),Min Latency (s),Avg Latency (s),Throughput (TPS),Experiment,TestType,TPS,Report
transfer,50,0,61.7,3.93,3.18,3.54,12.5,8n-5s-ibft-v26.2.0_20260330_232730,transfer,60,transfer_tps60
transfer,50,0,71.8,3.73,3.05,3.39,13.3,8n-5s-ibft-v26.2.0_20260330_232730,transfer,70,transfer_tps70
transfer,50,0,82.4,4.03,3.44,3.73,12.4,8n-5s-ibft-v26.2.0_20260330_232730,transfer,80,transfer_tps80
transfer,50,0,92.6,4.17,3.63,3.90,12.0,8n-5s-ibft-v26.2.0_20260330_232730,transfer,90,transfer_tps90
transfer,50,0,103.1,3.69,3.22,3.46,13.5,8n-5s-ibft-v26.2.0_20260330_232730,transfer,100,transfer_tps100
transfer,50,0,113.4,3.79,3.36,3.57,13.2,8n-5s-ibft-v26.2.0_20260330_232730,transfer,110,transfer_tps110
transfer,50,0,124.4,3.67,3.28,3.47,13.6,8n-5s-ibft-v26.2.0_20260330_232730,transfer,120,transfer_tps120
transfer,50,0,134.4,3.90,3.54,3.72,12.8,8n-5s-ibft-v26.2.0_20260330_232730,transfer,130,transfer_tps130
