Name,CPU%(max),CPU%(avg),Memory(max) [GB],Memory(avg) [GB],Traffic In [B],Traffic Out [B],Disc Write [MB],Disc Read [B],Experiment,TestType,TPS,Report
/node-besu1,0.5258333333333333,0.12791666666666665,1.75,1.74,0.00,0.00,4.23,0.00,6n-20s-ibft-v26.2.0_20260404_215732,transfer,100,transfer_tps100
/node-besu4,0.09250000000000001,0.024999999999999998,0.792,0.789,0.00,0.00,2.58,0.00,6n-20s-ibft-v26.2.0_20260404_215732,transfer,100,transfer_tps100
/node-besu6,0.06666666666666667,0.02,1.00,0.821,0.00,0.00,0.809,0.00,6n-20s-ibft-v26.2.0_20260404_215732,transfer,100,transfer_tps100
/node-besu2,0.61375,0.09375,0.702,0.624,0.00,0.00,2.87,0.00,6n-20s-ibft-v26.2.0_20260404_215732,transfer,100,transfer_tps100
/node-besu5,0.6779166666666666,0.09166666666666667,0.704,0.663,0.00,0.00,1.03,0.00,6n-20s-ibft-v26.2.0_20260404_215732,transfer,100,transfer_tps100
/node-besu3,0.6974999999999999,0.09291666666666666,0.802,0.741,0.00,0.00,0.813,0.00,6n-20s-ibft-v26.2.0_20260404_215732,transfer,100,transfer_tps100
/node-besu1,0.22833333333333336,0.10291666666666667,1.75,1.75,0.00,0.00,5.93,0.00,6n-20s-ibft-v26.2.0_20260404_215732,transfer,125,transfer_tps125
/node-besu4,0.2125,0.043750000000000004,0.879,0.864,0.00,0.00,2.07,0.00,6n-20s-ibft-v26.2.0_20260404_215732,transfer,125,transfer_tps125
/node-besu6,0.21666666666666667,0.042083333333333334,1.03,1.03,0.00,0.00,1.95,0.00,6n-20s-ibft-v26.2.0_20260404_215732,transfer,125,transfer_tps125
/node-besu2,0.41625,0.07083333333333333,0.807,0.632,0.00,0.00,2.28,0.00,6n-20s-ibft-v26.2.0_20260404_215732,transfer,125,transfer_tps125
/node-besu5,0.2325,0.04666666666666667,0.795,0.775,0.00,0.00,2.07,0.00,6n-20s-ibft-v26.2.0_20260404_215732,transfer,125,transfer_tps125
/node-besu3,0.2354166666666667,0.04833333333333333,0.803,0.802,0.00,0.00,1.82,0.00,6n-20s-ibft-v26.2.0_20260404_215732,transfer,125,transfer_tps125
/node-besu1,0.2891666666666667,0.13125,1.75,1.75,0.00,0.00,4.95,0.00,6n-20s-ibft-v26.2.0_20260404_215732,transfer,150,transfer_tps150
/node-besu4,0.15875,0.03791666666666667,0.928,0.893,0.00,0.00,2.03,0.00,6n-20s-ibft-v26.2.0_20260404_215732,transfer,150,transfer_tps150
/node-besu6,0.16749999999999998,0.03875,1.03,1.03,0.00,0.00,2.00,0.00,6n-20s-ibft-v26.2.0_20260404_215732,transfer,150,transfer_tps150
/node-besu2,0.3075,0.06416666666666666,0.733,0.664,0.00,0.00,2.59,0.00,6n-20s-ibft-v26.2.0_20260404_215732,transfer,150,transfer_tps150
/node-besu5,0.16874999999999998,0.03958333333333333,0.795,0.795,0.00,0.00,1.77,0.00,6n-20s-ibft-v26.2.0_20260404_215732,transfer,150,transfer_tps150
/node-besu3,0.1775,0.04,0.805,0.804,0.00,0.00,0.715,0.00,6n-20s-ibft-v26.2.0_20260404_215732,transfer,150,transfer_tps150
/node-besu1,0.3095833333333333,0.13999999999999999,1.75,1.75,0.00,0.00,4.95,0.00,6n-20s-ibft-v26.2.0_20260404_215732,transfer,175,transfer_tps175
