Name,CPU%(max),CPU%(avg),Memory(max) [GB],Memory(avg) [GB],Traffic In [B],Traffic Out [B],Disc Write [KB],Disc Read [B],Experiment,TestType,TPS,Report
/node-besu5,0.005416666666666667,0.005,0.715,0.715,0.00,0.00,96.0,0.00,12n-5s-ibft-v26.2.0_20260330_235529,query,325,query_tps325
/node-besu2,0.02,0.011666666666666667,0.770,0.770,0.00,0.00,96.0,0.00,12n-5s-ibft-v26.2.0_20260330_235529,query,325,query_tps325
/node-besu8,0.01916666666666667,0.011250000000000001,0.712,0.712,0.00,0.00,52.0,0.00,12n-5s-ibft-v26.2.0_20260330_235529,query,325,query_tps325
/node-besu9,0.017916666666666668,0.010416666666666666,0.844,0.844,0.00,0.00,44.0,0.00,12n-5s-ibft-v26.2.0_20260330_235529,query,325,query_tps325
/node-besu12,0.02,0.011666666666666667,0.716,0.716,0.00,0.00,48.0,0.00,12n-5s-ibft-v26.2.0_20260330_235529,query,325,query_tps325
/node-besu6,0.01875,0.010833333333333334,0.751,0.750,0.00,0.00,0.00,0.00,12n-5s-ibft-v26.2.0_20260330_235529,query,325,query_tps325
/node-besu11,0.01958333333333333,0.011250000000000001,0.744,0.744,0.00,0.00,0.00,0.00,12n-5s-ibft-v26.2.0_20260330_235529,query,325,query_tps325
/node-besu7,0.01875,0.010833333333333334,0.870,0.870,0.00,0.00,88.0,0.00,12n-5s-ibft-v26.2.0_20260330_235529,query,325,query_tps325
/node-besu3,0.020833333333333332,0.012083333333333333,0.800,0.800,0.00,0.00,0.00,0.00,12n-5s-ibft-v26.2.0_20260330_235529,query,325,query_tps325
/node-besu10,0.01875,0.010833333333333334,0.783,0.783,0.00,0.00,92.0,0.00,12n-5s-ibft-v26.2.0_20260330_235529,query,325,query_tps325
/node-besu1,0.024166666666666666,0.014166666666666668,1.09,1.08,0.00,0.00,368,0.00,12n-5s-ibft-v26.2.0_20260330_235529,query,325,query_tps325
/node-besu4,0.02,0.011666666666666667,0.771,0.771,0.00,0.00,44.0,0.00,12n-5s-ibft-v26.2.0_20260330_235529,query,325,query_tps325
/node-besu5,0.004166666666666667,0.00375,0.715,0.715,0.00,0.00,48.0,0.00,12n-5s-ibft-v26.2.0_20260330_235529,query,350,query_tps350
/node-besu2,0.01875,0.011666666666666667,0.770,0.770,0.00,0.00,48.0,0.00,12n-5s-ibft-v26.2.0_20260330_235529,query,350,query_tps350
/node-besu8,0.023333333333333334,0.01375,0.712,0.712,0.00,0.00,48.0,0.00,12n-5s-ibft-v26.2.0_20260330_235529,query,350,query_tps350
/node-besu9,0.020833333333333332,0.012083333333333333,0.845,0.845,0.00,0.00,52.0,0.00,12n-5s-ibft-v26.2.0_20260330_235529,query,350,query_tps350
/node-besu12,0.02125,0.012499999999999999,0.716,0.716,0.00,0.00,96.0,0.00,12n-5s-ibft-v26.2.0_20260330_235529,query,350,query_tps350
/node-besu6,0.020833333333333332,0.012083333333333333,0.750,0.750,0.00,0.00,24.0,0.00,12n-5s-ibft-v26.2.0_20260330_235529,query,350,query_tps350
/node-besu11,0.030833333333333334,0.017083333333333332,0.744,0.744,0.00,0.00,0.00,0.00,12n-5s-ibft-v26.2.0_20260330_235529,query,350,query_tps350
/node-besu7,0.03375,0.018333333333333333,0.870,0.870,0.00,0.00,96.0,0.00,12n-5s-ibft-v26.2.0_20260330_235529,query,350,query_tps350
/node-besu3,0.017499999999999998,0.010416666666666666,0.800,0.800,0.00,0.00,148,0.00,12n-5s-ibft-v26.2.0_20260330_235529,query,350,query_tps350
/node-besu10,0.03,0.016666666666666666,0.783,0.783,0.00,0.00,96.0,0.00,12n-5s-ibft-v26.2.0_20260330_235529,query,350,query_tps350
/node-besu1,0.018333333333333333,0.011250000000000001,1.09,1.09,0.00,0.00,316,0.00,12n-5s-ibft-v26.2.0_20260330_235529,query,350,query_tps350
/node-besu4,0.017499999999999998,0.010416666666666666,0.772,0.772,0.00,0.00,88.0,0.00,12n-5s-ibft-v26.2.0_20260330_235529,query,350,query_tps350
/node-besu5,0.013333333333333334,0.008333333333333333,0.715,0.714,0.00,0.00,48.0,0.00,12n-5s-ibft-v26.2.0_20260330_235529,query,375,query_tps375
/node-besu2,0.005833333333333334,0.005,0.769,0.769,0.00,0.00,44.0,0.00,12n-5s-ibft-v26.2.0_20260330_235529,query,375,query_tps375
/node-besu8,0.012499999999999999,0.007916666666666667,0.711,0.711,0.00,0.00,80.0,0.00,12n-5s-ibft-v26.2.0_20260330_235529,query,375,query_tps375
/node-besu9,0.01875,0.010833333333333334,0.844,0.844,0.00,0.00,44.0,0.00,12n-5s-ibft-v26.2.0_20260330_235529,query,375,query_tps375
/node-besu12,0.01,0.006666666666666667,0.716,0.716,0.00,0.00,76.0,0.00,12n-5s-ibft-v26.2.0_20260330_235529,query,375,query_tps375
/node-besu6,0.004166666666666667,0.00375,0.750,0.750,0.00,0.00,56.0,0.00,12n-5s-ibft-v26.2.0_20260330_235529,query,375,query_tps375
/node-besu11,0.006666666666666667,0.005416666666666667,0.744,0.744,0.00,0.00,28.0,0.00,12n-5s-ibft-v26.2.0_20260330_235529,query,375,query_tps375
/node-besu7,0.012083333333333333,0.007916666666666667,0.869,0.869,0.00,0.00,0.00,0.00,12n-5s-ibft-v26.2.0_20260330_235529,query,375,query_tps375
/node-besu3,0.009583333333333334,0.006666666666666667,0.799,0.799,0.00,0.00,0.00,0.00,12n-5s-ibft-v26.2.0_20260330_235529,query,375,query_tps375
/node-besu10,0.005,0.004583333333333333,0.784,0.783,0.00,0.00,84.0,0.00,12n-5s-ibft-v26.2.0_20260330_235529,query,375,query_tps375
/node-besu1,0.006666666666666667,0.005,1.09,1.09,0.00,0.00,164,0.00,12n-5s-ibft-v26.2.0_20260330_235529,query,375,query_tps375
/node-besu4,0.010833333333333334,0.0075,0.772,0.771,0.00,0.00,40.0,0.00,12n-5s-ibft-v26.2.0_20260330_235529,query,375,query_tps375
/node-besu5,0.004166666666666667,0.00375,0.715,0.715,0.00,0.00,160,0.00,12n-5s-ibft-v26.2.0_20260330_235529,query,400,query_tps400
/node-besu2,0.002916666666666667,0.002916666666666667,0.770,0.769,0.00,0.00,80.0,0.00,12n-5s-ibft-v26.2.0_20260330_235529,query,400,query_tps400
/node-besu8,0.002916666666666667,0.002916666666666667,0.711,0.711,0.00,0.00,68.0,0.00,12n-5s-ibft-v26.2.0_20260330_235529,query,400,query_tps400
/node-besu9,0.0033333333333333335,0.002916666666666667,0.844,0.844,0.00,0.00,68.0,0.00,12n-5s-ibft-v26.2.0_20260330_235529,query,400,query_tps400
/node-besu12,0.002916666666666667,0.002916666666666667,0.716,0.716,0.00,0.00,76.0,0.00,12n-5s-ibft-v26.2.0_20260330_235529,query,400,query_tps400
/node-besu6,0.002916666666666667,0.002916666666666667,0.750,0.750,0.00,0.00,72.0,0.00,12n-5s-ibft-v26.2.0_20260330_235529,query,400,query_tps400
/node-besu11,0.004583333333333333,0.00375,0.744,0.744,0.00,0.00,132,0.00,12n-5s-ibft-v26.2.0_20260330_235529,query,400,query_tps400
/node-besu7,0.002916666666666667,0.002916666666666667,0.869,0.869,0.00,0.00,148,0.00,12n-5s-ibft-v26.2.0_20260330_235529,query,400,query_tps400
/node-besu3,0.002916666666666667,0.002916666666666667,0.799,0.799,0.00,0.00,0.00,0.00,12n-5s-ibft-v26.2.0_20260330_235529,query,400,query_tps400
/node-besu10,0.005,0.00375,0.784,0.784,0.00,0.00,0.00,0.00,12n-5s-ibft-v26.2.0_20260330_235529,query,400,query_tps400
/node-besu1,0.004583333333333333,0.00375,1.09,1.09,0.00,0.00,148,0.00,12n-5s-ibft-v26.2.0_20260330_235529,query,400,query_tps400
/node-besu4,0.002916666666666667,0.002916666666666667,0.772,0.771,0.00,0.00,76.0,0.00,12n-5s-ibft-v26.2.0_20260330_235529,query,400,query_tps400
/node-besu5,0.016666666666666666,0.01,0.715,0.715,0.00,0.00,40.0,0.00,12n-5s-ibft-v26.2.0_20260330_235529,query,425,query_tps425
/node-besu2,0.005,0.004166666666666667,0.770,0.770,0.00,0.00,88.0,0.00,12n-5s-ibft-v26.2.0_20260330_235529,query,425,query_tps425
/node-besu8,0.005,0.004166666666666667,0.711,0.711,0.00,0.00,96.0,0.00,12n-5s-ibft-v26.2.0_20260330_235529,query,425,query_tps425
/node-besu9,0.00375,0.0033333333333333335,0.844,0.844,0.00,0.00,0.00,0.00,12n-5s-ibft-v26.2.0_20260330_235529,query,425,query_tps425
/node-besu12,0.005,0.004166666666666667,0.715,0.715,0.00,0.00,88.0,0.00,12n-5s-ibft-v26.2.0_20260330_235529,query,425,query_tps425
/node-besu6,0.005,0.004583333333333333,0.750,0.750,0.00,0.00,92.0,0.00,12n-5s-ibft-v26.2.0_20260330_235529,query,425,query_tps425
/node-besu11,0.004583333333333333,0.004166666666666667,0.744,0.744,0.00,0.00,16.0,0.00,12n-5s-ibft-v26.2.0_20260330_235529,query,425,query_tps425
/node-besu7,0.005,0.004583333333333333,0.870,0.870,0.00,0.00,88.0,0.00,12n-5s-ibft-v26.2.0_20260330_235529,query,425,query_tps425
/node-besu3,0.005416666666666667,0.004166666666666667,0.799,0.799,0.00,0.00,124,0.00,12n-5s-ibft-v26.2.0_20260330_235529,query,425,query_tps425
/node-besu10,0.00375,0.00375,0.783,0.783,0.00,0.00,80.0,0.00,12n-5s-ibft-v26.2.0_20260330_235529,query,425,query_tps425
/node-besu1,0.005416666666666667,0.005416666666666667,1.07,1.07,0.00,0.00,248,0.00,12n-5s-ibft-v26.2.0_20260330_235529,query,425,query_tps425
/node-besu4,0.01375,0.008749999999999999,0.772,0.772,0.00,0.00,88.0,0.00,12n-5s-ibft-v26.2.0_20260330_235529,query,425,query_tps425
/node-besu5,0.004583333333333333,0.004583333333333333,0.715,0.715,0.00,0.00,52.0,0.00,12n-5s-ibft-v26.2.0_20260330_235529,query,450,query_tps450
/node-besu2,0.017499999999999998,0.010833333333333334,0.770,0.770,0.00,0.00,48.0,0.00,12n-5s-ibft-v26.2.0_20260330_235529,query,450,query_tps450
/node-besu8,0.01958333333333333,0.012083333333333333,0.711,0.711,0.00,0.00,56.0,0.00,12n-5s-ibft-v26.2.0_20260330_235529,query,450,query_tps450
/node-besu9,0.017499999999999998,0.01,0.844,0.844,0.00,0.00,0.00,0.00,12n-5s-ibft-v26.2.0_20260330_235529,query,450,query_tps450
/node-besu12,0.018333333333333333,0.010833333333333334,0.716,0.716,0.00,0.00,48.0,0.00,12n-5s-ibft-v26.2.0_20260330_235529,query,450,query_tps450
/node-besu6,0.01875,0.010833333333333334,0.750,0.750,0.00,0.00,52.0,0.00,12n-5s-ibft-v26.2.0_20260330_235529,query,450,query_tps450
/node-besu11,0.03208333333333333,0.017499999999999998,0.744,0.744,0.00,0.00,28.0,0.00,12n-5s-ibft-v26.2.0_20260330_235529,query,450,query_tps450
/node-besu7,0.017499999999999998,0.01,0.869,0.869,0.00,0.00,48.0,0.00,12n-5s-ibft-v26.2.0_20260330_235529,query,450,query_tps450
/node-besu3,0.017916666666666668,0.010416666666666666,0.800,0.799,0.00,0.00,0.00,0.00,12n-5s-ibft-v26.2.0_20260330_235529,query,450,query_tps450
/node-besu10,0.017499999999999998,0.010416666666666666,0.784,0.784,0.00,0.00,48.0,0.00,12n-5s-ibft-v26.2.0_20260330_235529,query,450,query_tps450
/node-besu1,0.018333333333333333,0.011666666666666667,1.07,1.07,0.00,0.00,168,0.00,12n-5s-ibft-v26.2.0_20260330_235529,query,450,query_tps450
/node-besu4,0.01875,0.010833333333333334,0.771,0.771,0.00,0.00,48.0,0.00,12n-5s-ibft-v26.2.0_20260330_235529,query,450,query_tps450
/node-besu5,0.009166666666666667,0.006666666666666667,0.715,0.715,0.00,0.00,52.0,0.00,12n-5s-ibft-v26.2.0_20260330_235529,query,475,query_tps475
/node-besu2,0.02666666666666667,0.014583333333333332,0.770,0.770,0.00,0.00,56.0,0.00,12n-5s-ibft-v26.2.0_20260330_235529,query,475,query_tps475
/node-besu8,0.018333333333333333,0.010833333333333334,0.711,0.711,0.00,0.00,56.0,0.00,12n-5s-ibft-v26.2.0_20260330_235529,query,475,query_tps475
/node-besu9,0.021666666666666667,0.012083333333333333,0.845,0.844,0.00,0.00,56.0,0.00,12n-5s-ibft-v26.2.0_20260330_235529,query,475,query_tps475
/node-besu12,0.035833333333333335,0.01916666666666667,0.716,0.716,0.00,0.00,88.0,0.00,12n-5s-ibft-v26.2.0_20260330_235529,query,475,query_tps475
/node-besu6,0.020833333333333332,0.012083333333333333,0.750,0.750,0.00,0.00,56.0,0.00,12n-5s-ibft-v26.2.0_20260330_235529,query,475,query_tps475
/node-besu11,0.03916666666666666,0.02125,0.744,0.744,0.00,0.00,0.00,0.00,12n-5s-ibft-v26.2.0_20260330_235529,query,475,query_tps475
