Name,CPU%(max),CPU%(avg),Memory(max) [GB],Memory(avg) [MB],Traffic In [B],Traffic Out [B],Disc Write [MB],Disc Read [B],Report,TPS,Memory(avg) [GB],Disc Write [KB]
/node-besu7,0.5075,0.15041666666666667,0.545,512,0.00,0.00,1.32,0.00,open_report,0,,
/node-besu4,0.34541666666666665,0.09749999999999999,0.626,598,0.00,0.00,0.617,0.00,open_report,0,,
/node-besu8,0.46375000000000005,0.14083333333333334,0.562,548,0.00,0.00,1.35,0.00,open_report,0,,
/node-besu5,0.30624999999999997,0.09208333333333334,0.524,511,0.00,0.00,1.41,0.00,open_report,0,,
/node-besu2,0.27166666666666667,0.08125,0.582,576,0.00,0.00,1.38,0.00,open_report,0,,
/node-besu6,0.29083333333333333,0.11625,0.575,551,0.00,0.00,0.0820,0.00,open_report,0,,
/node-besu3,0.6041666666666666,0.22666666666666668,0.663,588,0.00,0.00,1.41,0.00,open_report,0,,
/node-besu1,0.8458333333333333,0.3145833333333333,1.02,701,0.00,0.00,1.76,0.00,open_report,0,,
/node-besu7,0.034583333333333334,0.01875,0.539,,0.00,0.00,,0.00,query_report,0,0.539,52.0
/node-besu4,0.0075,0.005416666666666667,0.626,,0.00,0.00,,0.00,query_report,0,0.626,328
/node-besu8,0.0033333333333333335,0.0033333333333333335,0.582,,0.00,0.00,,0.00,query_report,0,0.573,60.0
/node-besu5,0.012083333333333333,0.0075,0.536,,0.00,0.00,,0.00,query_report,0,0.528,80.0
/node-besu2,0.002916666666666667,0.002916666666666667,0.583,,0.00,0.00,,0.00,query_report,0,0.583,64.0
/node-besu6,0.002916666666666667,0.002916666666666667,0.571,,0.00,0.00,,0.00,query_report,0,0.571,632
/node-besu3,0.0033333333333333335,0.002916666666666667,0.658,,0.00,0.00,,0.00,query_report,0,0.621,76.0
/node-besu1,0.0062499999999999995,0.004583333333333333,1.02,,0.00,0.00,,0.00,query_report,0,1.02,180
/node-besu7,0.011250000000000001,0.007083333333333334,0.539,,0.00,0.00,,0.00,transfer_report,0,0.539,176
/node-besu4,0.014166666666666668,0.008333333333333333,0.627,,0.00,0.00,,0.00,transfer_report,0,0.627,144
/node-besu8,0.013333333333333334,0.007916666666666667,0.606,,0.00,0.00,,0.00,transfer_report,0,0.605,160
/node-besu5,0.04416666666666667,0.023333333333333334,0.564,,0.00,0.00,,0.00,transfer_report,0,0.563,148
/node-besu2,0.017083333333333332,0.010416666666666666,0.584,,0.00,0.00,,0.00,transfer_report,0,0.584,152
/node-besu6,0.014583333333333332,0.008749999999999999,0.571,,0.00,0.00,,0.00,transfer_report,0,0.571,0.00
/node-besu3,0.028333333333333335,0.015416666666666667,0.587,,0.00,0.00,,0.00,transfer_report,0,0.586,148
/node-besu1,0.022083333333333333,0.012916666666666667,1.03,,0.00,0.00,,0.00,transfer_report,0,1.02,204
