Name,CPU%(max),CPU%(avg),Memory(max) [GB],Memory(avg) [GB],Traffic In [B],Traffic Out [B],Disc Write [KB],Disc Read [B],Experiment,TestType,TPS,Report
/node-besu5,0.002916666666666667,0.002916666666666667,0.636,0.636,0.00,0.00,72.0,0.00,6n-20s-qbft-v26.2.0_20260331_004153,query,325,query_tps325
/node-besu4,0.00375,0.0033333333333333335,0.523,0.523,0.00,0.00,56.0,0.00,6n-20s-qbft-v26.2.0_20260331_004153,query,325,query_tps325
/node-besu3,0.0033333333333333335,0.002916666666666667,0.681,0.681,0.00,0.00,36.0,0.00,6n-20s-qbft-v26.2.0_20260331_004153,query,325,query_tps325
/node-besu2,0.0033333333333333335,0.002916666666666667,0.637,0.637,0.00,0.00,36.0,0.00,6n-20s-qbft-v26.2.0_20260331_004153,query,325,query_tps325
/node-besu6,0.002916666666666667,0.002916666666666667,0.506,0.505,0.00,0.00,36.0,0.00,6n-20s-qbft-v26.2.0_20260331_004153,query,325,query_tps325
/node-besu1,0.002916666666666667,0.002916666666666667,1.26,1.26,0.00,0.00,252,0.00,6n-20s-qbft-v26.2.0_20260331_004153,query,325,query_tps325
/node-besu5,0.0025,0.0025,0.635,0.635,0.00,0.00,28.0,0.00,6n-20s-qbft-v26.2.0_20260331_004153,query,350,query_tps350
/node-besu4,0.020416666666666666,0.011666666666666667,0.508,0.508,0.00,0.00,68.0,0.00,6n-20s-qbft-v26.2.0_20260331_004153,query,350,query_tps350
/node-besu3,0.002916666666666667,0.002916666666666667,0.680,0.680,0.00,0.00,64.0,0.00,6n-20s-qbft-v26.2.0_20260331_004153,query,350,query_tps350
/node-besu2,0.004583333333333333,0.00375,0.636,0.636,0.00,0.00,56.0,0.00,6n-20s-qbft-v26.2.0_20260331_004153,query,350,query_tps350
/node-besu6,0.0033333333333333335,0.0033333333333333335,0.508,0.508,0.00,0.00,68.0,0.00,6n-20s-qbft-v26.2.0_20260331_004153,query,350,query_tps350
/node-besu1,0.00375,0.00375,1.26,1.26,0.00,0.00,284,0.00,6n-20s-qbft-v26.2.0_20260331_004153,query,350,query_tps350
/node-besu5,0.0033333333333333335,0.002916666666666667,0.636,0.636,0.00,0.00,24.0,0.00,6n-20s-qbft-v26.2.0_20260331_004153,query,375,query_tps375
/node-besu4,0.002916666666666667,0.002916666666666667,0.512,0.510,0.00,0.00,28.0,0.00,6n-20s-qbft-v26.2.0_20260331_004153,query,375,query_tps375
/node-besu3,0.0025,0.0025,0.680,0.680,0.00,0.00,0.00,0.00,6n-20s-qbft-v26.2.0_20260331_004153,query,375,query_tps375
/node-besu2,0.002916666666666667,0.0025,0.649,0.649,0.00,0.00,28.0,0.00,6n-20s-qbft-v26.2.0_20260331_004153,query,375,query_tps375
/node-besu6,0.0025,0.0025,0.508,0.508,0.00,0.00,28.0,0.00,6n-20s-qbft-v26.2.0_20260331_004153,query,375,query_tps375
/node-besu1,0.0033333333333333335,0.002916666666666667,1.26,1.26,0.00,0.00,148,0.00,6n-20s-qbft-v26.2.0_20260331_004153,query,375,query_tps375
/node-besu5,0.0025,0.0025,0.636,0.636,0.00,0.00,104,0.00,6n-20s-qbft-v26.2.0_20260331_004153,query,400,query_tps400
/node-besu4,0.0033333333333333335,0.002916666666666667,0.508,0.508,0.00,0.00,112,0.00,6n-20s-qbft-v26.2.0_20260331_004153,query,400,query_tps400
/node-besu3,0.0025,0.0025,0.680,0.680,0.00,0.00,88.0,0.00,6n-20s-qbft-v26.2.0_20260331_004153,query,400,query_tps400
/node-besu2,0.0025,0.0025,0.649,0.649,0.00,0.00,84.0,0.00,6n-20s-qbft-v26.2.0_20260331_004153,query,400,query_tps400
/node-besu6,0.002916666666666667,0.002916666666666667,0.481,0.481,0.00,0.00,120,0.00,6n-20s-qbft-v26.2.0_20260331_004153,query,400,query_tps400
/node-besu1,0.002916666666666667,0.002916666666666667,1.26,1.26,0.00,0.00,252,0.00,6n-20s-qbft-v26.2.0_20260331_004153,query,400,query_tps400
/node-besu5,0.004166666666666667,0.0033333333333333335,0.636,0.636,0.00,0.00,32.0,0.00,6n-20s-qbft-v26.2.0_20260331_004153,query,425,query_tps425
/node-besu4,0.0033333333333333335,0.002916666666666667,0.509,0.509,0.00,0.00,60.0,0.00,6n-20s-qbft-v26.2.0_20260331_004153,query,425,query_tps425
/node-besu3,0.002916666666666667,0.0025,0.680,0.680,0.00,0.00,0.00,0.00,6n-20s-qbft-v26.2.0_20260331_004153,query,425,query_tps425
/node-besu2,0.0025,0.0025,0.649,0.649,0.00,0.00,28.0,0.00,6n-20s-qbft-v26.2.0_20260331_004153,query,425,query_tps425
