Name,CPU%(max),CPU%(avg),Memory(max) [GB],Memory(avg) [GB],Traffic In [B],Traffic Out [B],Disc Write [KB],Disc Read [B],Experiment,TestType,TPS,Report,Disc Write [MB]
/node-besu4,0.00375,0.0033333333333333335,0.731,0.730,0.00,0.00,184,0.00,4n-5s-qbft-v26.2.0_20260404_151411,query,100,query_tps100,
/node-besu1,0.04,0.021666666666666667,1.34,1.34,0.00,0.00,756,0.00,4n-5s-qbft-v26.2.0_20260404_151411,query,100,query_tps100,
/node-besu2,0.0033333333333333335,0.002916666666666667,0.644,0.644,0.00,0.00,816,0.00,4n-5s-qbft-v26.2.0_20260404_151411,query,100,query_tps100,
/node-besu3,0.00375,0.0033333333333333335,0.533,0.527,0.00,0.00,248,0.00,4n-5s-qbft-v26.2.0_20260404_151411,query,100,query_tps100,
/node-besu4,0.009166666666666667,0.004166666666666667,0.729,0.729,0.00,0.00,176,0.00,4n-5s-qbft-v26.2.0_20260404_151411,query,125,query_tps125,
/node-besu1,0.03625,0.020833333333333332,1.34,1.34,0.00,0.00,508,0.00,4n-5s-qbft-v26.2.0_20260404_151411,query,125,query_tps125,
/node-besu2,0.011250000000000001,0.008333333333333333,0.644,0.644,0.00,0.00,128,0.00,4n-5s-qbft-v26.2.0_20260404_151411,query,125,query_tps125,
/node-besu3,0.010416666666666666,0.008333333333333333,0.508,0.505,0.00,0.00,272,0.00,4n-5s-qbft-v26.2.0_20260404_151411,query,125,query_tps125,
/node-besu4,0.0033333333333333335,0.002916666666666667,0.730,0.729,0.00,0.00,168,0.00,4n-5s-qbft-v26.2.0_20260404_151411,query,150,query_tps150,
/node-besu1,0.03833333333333334,0.02,1.34,1.34,0.00,0.00,424,0.00,4n-5s-qbft-v26.2.0_20260404_151411,query,150,query_tps150,
/node-besu2,0.007916666666666667,0.004166666666666667,0.644,0.644,0.00,0.00,76.0,0.00,4n-5s-qbft-v26.2.0_20260404_151411,query,150,query_tps150,
/node-besu3,0.01,0.005,0.508,0.490,0.00,0.00,168,0.00,4n-5s-qbft-v26.2.0_20260404_151411,query,150,query_tps150,
/node-besu4,0.017083333333333332,0.009166666666666667,0.730,0.730,0.00,0.00,124,0.00,4n-5s-qbft-v26.2.0_20260404_151411,query,175,query_tps175,
/node-besu1,0.028749999999999998,0.013333333333333334,1.34,1.34,0.00,0.00,396,0.00,4n-5s-qbft-v26.2.0_20260404_151411,query,175,query_tps175,
/node-besu2,0.012499999999999999,0.005416666666666667,0.644,0.643,0.00,0.00,152,0.00,4n-5s-qbft-v26.2.0_20260404_151411,query,175,query_tps175,
/node-besu3,0.007916666666666667,0.004583333333333333,0.488,0.485,0.00,0.00,212,0.00,4n-5s-qbft-v26.2.0_20260404_151411,query,175,query_tps175,
/node-besu4,0.0033333333333333335,0.0033333333333333335,0.730,0.730,0.00,0.00,128,0.00,4n-5s-qbft-v26.2.0_20260404_151411,query,200,query_tps200,
/node-besu1,0.035416666666666666,0.01375,1.34,1.34,0.00,0.00,232,0.00,4n-5s-qbft-v26.2.0_20260404_151411,query,200,query_tps200,
/node-besu2,0.004583333333333333,0.0033333333333333335,0.644,0.644,0.00,0.00,104,0.00,4n-5s-qbft-v26.2.0_20260404_151411,query,200,query_tps200,
/node-besu3,0.0062499999999999995,0.005,0.476,0.476,0.00,0.00,120,0.00,4n-5s-qbft-v26.2.0_20260404_151411,query,200,query_tps200,
/node-besu4,0.005,0.00375,0.730,0.730,0.00,0.00,0.00,0.00,4n-5s-qbft-v26.2.0_20260404_151411,query,225,query_tps225,
/node-besu1,0.03916666666666666,0.02,1.34,1.34,0.00,0.00,296,0.00,4n-5s-qbft-v26.2.0_20260404_151411,query,225,query_tps225,
/node-besu2,0.017499999999999998,0.009166666666666667,0.645,0.644,0.00,0.00,108,0.00,4n-5s-qbft-v26.2.0_20260404_151411,query,225,query_tps225,
/node-besu3,0.01916666666666667,0.010833333333333334,0.477,0.477,0.00,0.00,132,0.00,4n-5s-qbft-v26.2.0_20260404_151411,query,225,query_tps225,
/node-besu4,0.009583333333333334,0.005,0.730,0.730,0.00,0.00,0.00,0.00,4n-5s-qbft-v26.2.0_20260404_151411,query,250,query_tps250,
/node-besu1,0.03875,0.01625,1.34,1.34,0.00,0.00,340,0.00,4n-5s-qbft-v26.2.0_20260404_151411,query,250,query_tps250,
/node-besu2,0.017499999999999998,0.009166666666666667,0.644,0.644,0.00,0.00,84.0,0.00,4n-5s-qbft-v26.2.0_20260404_151411,query,250,query_tps250,
/node-besu3,0.02666666666666667,0.01375,0.477,0.474,0.00,0.00,176,0.00,4n-5s-qbft-v26.2.0_20260404_151411,query,250,query_tps250,
/node-besu4,0.0033333333333333335,0.002916666666666667,0.730,0.730,0.00,0.00,0.00,0.00,4n-5s-qbft-v26.2.0_20260404_151411,query,275,query_tps275,
/node-besu1,0.042083333333333334,0.015833333333333335,1.34,1.34,0.00,0.00,188,0.00,4n-5s-qbft-v26.2.0_20260404_151411,query,275,query_tps275,
/node-besu2,0.005,0.0033333333333333335,0.644,0.644,0.00,0.00,84.0,0.00,4n-5s-qbft-v26.2.0_20260404_151411,query,275,query_tps275,
/node-besu3,0.011250000000000001,0.006666666666666667,0.473,0.473,0.00,0.00,116,0.00,4n-5s-qbft-v26.2.0_20260404_151411,query,275,query_tps275,
/node-besu4,0.0033333333333333335,0.002916666666666667,0.730,0.730,0.00,0.00,,0.00,4n-5s-qbft-v26.2.0_20260404_151411,query,300,query_tps300,0.0977
/node-besu1,0.0375,0.014166666666666668,1.34,1.34,0.00,0.00,,0.00,4n-5s-qbft-v26.2.0_20260404_151411,query,300,query_tps300,1.03
/node-besu2,0.00375,0.0033333333333333335,0.645,0.644,0.00,0.00,,0.00,4n-5s-qbft-v26.2.0_20260404_151411,query,300,query_tps300,0.0781
/node-besu3,0.00375,0.00375,0.473,0.472,0.00,0.00,,0.00,4n-5s-qbft-v26.2.0_20260404_151411,query,300,query_tps300,0.105
