Name,CPU%(max),CPU%(avg),Memory(max) [GB],Memory(avg) [GB],Traffic In [B],Traffic Out [B],Disc Write [MB],Disc Read [B],Experiment,TestType,TPS,Report,Disc Write [KB]
/node-besu6,0.023333333333333334,0.012916666666666667,0.634,0.634,0.00,0.00,,0.00,6n-10s-qbft-v26.2.0_20260331_000933,query,450,query_tps450,80.0
/node-besu3,0.010833333333333334,0.0075,0.807,0.806,0.00,0.00,,0.00,6n-10s-qbft-v26.2.0_20260331_000933,query,450,query_tps450,80.0
/node-besu5,0.009583333333333334,0.0062499999999999995,0.634,0.634,0.00,0.00,,0.00,6n-10s-qbft-v26.2.0_20260331_000933,query,450,query_tps450,88.0
/node-besu4,0.023333333333333334,0.017916666666666668,0.688,0.688,0.00,0.00,,0.00,6n-10s-qbft-v26.2.0_20260331_000933,query,450,query_tps450,112
/node-besu1,0.011250000000000001,0.007916666666666667,1.33,1.33,0.00,0.00,,0.00,6n-10s-qbft-v26.2.0_20260331_000933,query,475,query_tps475,132
/node-besu2,0.009166666666666667,0.005833333333333334,0.686,0.686,0.00,0.00,,0.00,6n-10s-qbft-v26.2.0_20260331_000933,query,475,query_tps475,0.00
/node-besu6,0.010416666666666666,0.006666666666666667,0.635,0.634,0.00,0.00,,0.00,6n-10s-qbft-v26.2.0_20260331_000933,query,475,query_tps475,0.00
/node-besu3,0.01,0.0062499999999999995,0.806,0.806,0.00,0.00,,0.00,6n-10s-qbft-v26.2.0_20260331_000933,query,475,query_tps475,24.0
/node-besu5,0.009583333333333334,0.005833333333333334,0.634,0.634,0.00,0.00,,0.00,6n-10s-qbft-v26.2.0_20260331_000933,query,475,query_tps475,28.0
/node-besu4,0.009166666666666667,0.005833333333333334,0.687,0.687,0.00,0.00,,0.00,6n-10s-qbft-v26.2.0_20260331_000933,query,475,query_tps475,28.0
/node-besu1,0.004166666666666667,0.0033333333333333335,1.33,1.33,0.00,0.00,,0.00,6n-10s-qbft-v26.2.0_20260331_000933,query,500,query_tps500,92.0
/node-besu2,0.007916666666666667,0.005416666666666667,0.686,0.686,0.00,0.00,,0.00,6n-10s-qbft-v26.2.0_20260331_000933,query,500,query_tps500,124
/node-besu6,0.002916666666666667,0.002916666666666667,0.634,0.634,0.00,0.00,,0.00,6n-10s-qbft-v26.2.0_20260331_000933,query,500,query_tps500,0.00
/node-besu3,0.00375,0.0033333333333333335,0.806,0.806,0.00,0.00,,0.00,6n-10s-qbft-v26.2.0_20260331_000933,query,500,query_tps500,68.0
/node-besu5,0.05333333333333334,0.028333333333333335,0.634,0.634,0.00,0.00,,0.00,6n-10s-qbft-v26.2.0_20260331_000933,query,500,query_tps500,68.0
/node-besu4,0.0025,0.0025,0.687,0.687,0.00,0.00,,0.00,6n-10s-qbft-v26.2.0_20260331_000933,query,500,query_tps500,68.0
