Name,Succ,Fail,Send Rate (TPS),Max Latency (s),Min Latency (s),Avg Latency (s),Throughput (TPS),Report,TPS
open,1000,0,60.1,37.45,24.13,30.85,24.5,open_report_60_20251108-184451,60
open,1000,0,60.1,37.18,23.89,30.63,24.7,open_report_60_20251108-181721,60
open,1000,0,60.1,35.18,21.98,28.69,25.9,open_report_60_20251108-180313,60
open,1000,0,60.1,38.20,21.55,30.85,24.5,open_report_60_20251108-183131,60
open,1000,0,80.1,34.47,21.98,28.68,27.4,open_report_80_20251108-184545,80
open,1000,0,80.1,21.23,8.74,13.83,45.9,open_report_80_20251108-180405,80
open,1000,0,80.1,33.28,24.15,28.82,27.3,open_report_80_20251108-181815,80
open,1000,0,80.1,33.22,23.96,28.65,27.4,open_report_80_20251108-183225,80
open,1000,0,100.1,32.77,26.21,29.59,27.6,open_report_100_20251108-180455,100
open,1000,0,100.1,15.80,9.13,12.56,52.3,open_report_100_20251108-184635,100
open,1000,0,100.2,34.00,24.01,30.14,27.3,open_report_100_20251108-183315,100
open,1000,0,100.2,36.74,26.75,30.22,27.2,open_report_100_20251108-181905,100
open,1000,0,120.2,34.40,26.07,30.85,27.3,open_report_120_20251108-184725,120
open,1000,0,120.2,17.65,12.57,15.18,47.9,open_report_120_20251108-181955,120
open,1000,0,120.2,35.50,27.17,30.41,27.6,open_report_120_20251108-180545,120
open,1000,0,120.2,33.61,28.54,31.12,27.1,open_report_120_20251108-183405,120
open,1000,0,140.3,33.24,29.84,31.53,27.0,open_report_140_20251108-180635,140
open,1000,0,140.3,33.39,29.58,31.55,27.2,open_report_140_20251108-184815,140
open,1000,0,140.2,33.81,26.68,31.52,27.3,open_report_140_20251108-183455,140
open,1000,0,140.3,36.49,29.36,31.47,27.3,open_report_140_20251108-182045,140
open,1000,0,160.1,35.41,29.16,31.42,27.6,open_report_160_20251108-180725,160
open,1000,0,160.3,33.20,30.28,31.78,27.4,open_report_160_20251108-182135,160
open,1000,0,160.3,17.88,14.94,16.45,47.2,open_report_160_20251108-183545,160
open,1000,0,160.3,34.25,28.01,31.85,27.3,open_report_160_20251108-184905,160
open,1000,0,180.3,36.36,30.81,32.15,27.3,open_report_180_20251108-182225,180
open,1000,0,173.7,33.33,30.89,32.01,27.3,open_report_180_20251108-184955,180
open,1000,0,162.5,33.10,30.27,31.51,27.5,open_report_180_20251108-180815,180
open,1000,0,180.4,33.74,28.05,32.14,27.3,open_report_180_20251108-183635,180
