Name,CPU%(max),CPU%(avg),Memory(max) [GB],Memory(avg) [GB],Traffic In [B],Traffic Out [B],Disc Write [KB],Disc Read [B],Report,TPS
/node-besu3,0.004166666666666667,0.0025,0.664,0.664,0.00,0.00,356,0.00,transfer_report_70_20251108-184041,70
/node-besu4,0.0325,0.007916666666666667,0.662,0.662,0.00,0.00,132,0.00,transfer_report_70_20251108-181311,70
/node-besu2,0.017499999999999998,0.006666666666666667,0.620,0.619,0.00,0.00,204,0.00,transfer_report_70_20251108-181311,70
/node-besu1,0.010416666666666666,0.0062499999999999995,1.48,1.48,0.00,0.00,304,0.00,transfer_report_70_20251108-181311,70
/node-besu3,0.028333333333333335,0.007083333333333334,0.660,0.660,0.00,0.00,224,0.00,transfer_report_70_20251108-181311,70
/node-besu4,0.03666666666666667,0.013333333333333334,0.668,0.667,0.00,0.00,284,0.00,transfer_report_80_20251108-184131,80
/node-besu2,0.037083333333333336,0.01375,0.629,0.628,0.00,0.00,32.0,0.00,transfer_report_80_20251108-184131,80
/node-besu1,0.050416666666666665,0.011666666666666667,1.49,1.49,0.00,0.00,244,0.00,transfer_report_80_20251108-184131,80
/node-besu3,0.00375,0.002916666666666667,0.664,0.664,0.00,0.00,252,0.00,transfer_report_80_20251108-184131,80
/node-besu4,0.034166666666666665,0.009166666666666667,0.662,0.662,0.00,0.00,288,0.00,transfer_report_80_20251108-181401,80
/node-besu2,0.12041666666666667,0.01916666666666667,0.619,0.619,0.00,0.00,340,0.00,transfer_report_80_20251108-181401,80
/node-besu1,0.06958333333333333,0.012916666666666667,1.48,1.48,0.00,0.00,220,0.00,transfer_report_80_20251108-181401,80
/node-besu3,0.0075,0.004583333333333333,0.660,0.660,0.00,0.00,184,0.00,transfer_report_80_20251108-181401,80
/node-besu3,0.00375,0.002916666666666667,0.670,0.669,0.00,0.00,244,0.00,transfer_report_80_20251108-190901,80
/node-besu1,0.008749999999999999,0.004583333333333333,1.50,1.50,0.00,0.00,308,0.00,transfer_report_80_20251108-190901,80
/node-besu2,0.010833333333333334,0.005,0.633,0.633,0.00,0.00,420,0.00,transfer_report_80_20251108-190901,80
/node-besu4,0.042916666666666665,0.008749999999999999,0.674,0.674,0.00,0.00,388,0.00,transfer_report_80_20251108-190901,80
/node-besu3,0.007083333333333334,0.002916666666666667,0.662,0.662,0.00,0.00,360,0.00,transfer_report_80_20251108-182811,80
/node-besu1,0.04791666666666666,0.009583333333333334,1.49,1.49,0.00,0.00,208,0.00,transfer_report_80_20251108-182811,80
/node-besu2,0.035416666666666666,0.008333333333333333,0.625,0.624,0.00,0.00,356,0.00,transfer_report_80_20251108-182811,80
/node-besu4,0.09958333333333334,0.017499999999999998,0.664,0.664,0.00,0.00,384,0.00,transfer_report_80_20251108-182811,80
/node-besu4,0.013333333333333334,0.005,0.675,0.674,0.00,0.00,404,0.00,transfer_report_90_20251108-190951,90
/node-besu2,0.024999999999999998,0.0062499999999999995,0.634,0.633,0.00,0.00,404,0.00,transfer_report_90_20251108-190951,90
/node-besu1,0.012083333333333333,0.004583333333333333,1.50,1.50,0.00,0.00,296,0.00,transfer_report_90_20251108-190951,90
/node-besu3,0.008749999999999999,0.002916666666666667,0.669,0.669,0.00,0.00,280,0.00,transfer_report_90_20251108-190951,90
/node-besu4,0.007916666666666667,0.004583333333333333,0.662,0.662,0.00,0.00,276,0.00,transfer_report_90_20251108-181451,90
/node-besu2,0.007916666666666667,0.004166666666666667,0.620,0.619,0.00,0.00,176,0.00,transfer_report_90_20251108-181451,90
/node-besu1,0.0025,0.0025,1.48,1.48,0.00,0.00,252,0.00,transfer_report_90_20251108-181451,90
/node-besu3,0.0025,0.0025,0.660,0.660,0.00,0.00,168,0.00,transfer_report_90_20251108-181451,90
/node-besu3,0.0075,0.00375,0.662,0.662,0.00,0.00,464,0.00,transfer_report_90_20251108-182901,90
/node-besu1,0.049166666666666664,0.010416666666666666,1.49,1.49,0.00,0.00,456,0.00,transfer_report_90_20251108-182901,90
/node-besu2,0.03375,0.01,0.624,0.624,0.00,0.00,252,0.00,transfer_report_90_20251108-182901,90
/node-besu4,0.034166666666666665,0.0075,0.664,0.664,0.00,0.00,444,0.00,transfer_report_90_20251108-182901,90
/node-besu4,0.04,0.012916666666666667,0.668,0.668,0.00,0.00,376,0.00,transfer_report_90_20251108-184221,90
/node-besu2,0.034166666666666665,0.012083333333333333,0.629,0.628,0.00,0.00,196,0.00,transfer_report_90_20251108-184221,90
/node-besu1,0.048749999999999995,0.010416666666666666,1.49,1.49,0.00,0.00,220,0.00,transfer_report_90_20251108-184221,90
/node-besu3,0.0033333333333333335,0.0025,0.664,0.664,0.00,0.00,384,0.00,transfer_report_90_20251108-184221,90
/node-besu4,0.004166666666666667,0.002916666666666667,0.674,0.674,0.00,0.00,288,0.00,transfer_report_100_20251108-191041,100
/node-besu2,0.004166666666666667,0.002916666666666667,0.634,0.633,0.00,0.00,280,0.00,transfer_report_100_20251108-191041,100
/node-besu1,0.008333333333333333,0.004583333333333333,1.50,1.50,0.00,0.00,192,0.00,transfer_report_100_20251108-191041,100
/node-besu3,0.002916666666666667,0.0025,0.670,0.670,0.00,0.00,228,0.00,transfer_report_100_20251108-191041,100
/node-besu4,0.03291666666666667,0.011666666666666667,0.664,0.664,0.00,0.00,116,0.00,transfer_report_100_20251108-182951,100
/node-besu2,0.03291666666666667,0.008333333333333333,0.624,0.624,0.00,0.00,236,0.00,transfer_report_100_20251108-182951,100
/node-besu1,0.007916666666666667,0.00375,1.49,1.49,0.00,0.00,244,0.00,transfer_report_100_20251108-182951,100
/node-besu3,0.007083333333333334,0.002916666666666667,0.662,0.662,0.00,0.00,408,0.00,transfer_report_100_20251108-182951,100
/node-besu3,0.002916666666666667,0.0025,0.664,0.664,0.00,0.00,416,0.00,transfer_report_100_20251108-184311,100
/node-besu1,0.01958333333333333,0.0062499999999999995,1.49,1.49,0.00,0.00,380,0.00,transfer_report_100_20251108-184311,100
/node-besu2,0.11708333333333333,0.01875,0.629,0.628,0.00,0.00,368,0.00,transfer_report_100_20251108-184311,100
/node-besu4,0.030833333333333334,0.008333333333333333,0.668,0.667,0.00,0.00,444,0.00,transfer_report_100_20251108-184311,100
/node-besu3,0.007916666666666667,0.004583333333333333,0.660,0.660,0.00,0.00,216,0.00,transfer_report_100_20251108-181541,100
/node-besu1,0.05541666666666667,0.012499999999999999,1.48,1.48,0.00,0.00,292,0.00,transfer_report_100_20251108-181541,100
/node-besu2,0.08041666666666666,0.017499999999999998,0.620,0.620,0.00,0.00,208,0.00,transfer_report_100_20251108-181541,100
/node-besu4,0.10541666666666666,0.018333333333333333,0.662,0.662,0.00,0.00,404,0.00,transfer_report_100_20251108-181541,100
/node-besu4,0.049166666666666664,0.009166666666666667,0.668,0.668,0.00,0.00,448,0.00,transfer_report_110_20251108-184401,110
/node-besu2,0.05125,0.009583333333333334,0.629,0.628,0.00,0.00,176,0.00,transfer_report_110_20251108-184401,110
/node-besu1,0.0075,0.00375,1.49,1.49,0.00,0.00,376,0.00,transfer_report_110_20251108-184401,110
/node-besu3,0.002916666666666667,0.0025,0.664,0.664,0.00,0.00,408,0.00,transfer_report_110_20251108-184401,110
/node-besu4,0.042916666666666665,0.010833333333333334,0.662,0.662,0.00,0.00,96.0,0.00,transfer_report_110_20251108-181631,110
/node-besu2,0.04833333333333333,0.010833333333333334,0.620,0.620,0.00,0.00,172,0.00,transfer_report_110_20251108-181631,110
/node-besu1,0.012916666666666667,0.005416666666666667,1.48,1.48,0.00,0.00,516,0.00,transfer_report_110_20251108-181631,110
/node-besu3,0.007916666666666667,0.004583333333333333,0.660,0.660,0.00,0.00,316,0.00,transfer_report_110_20251108-181631,110
/node-besu4,0.035833333333333335,0.0075,0.674,0.674,0.00,0.00,144,0.00,transfer_report_110_20251108-191131,110
/node-besu2,0.03791666666666667,0.009166666666666667,0.634,0.633,0.00,0.00,376,0.00,transfer_report_110_20251108-191131,110
/node-besu1,0.01,0.004166666666666667,1.50,1.50,0.00,0.00,304,0.00,transfer_report_110_20251108-191131,110
/node-besu3,0.08791666666666666,0.013333333333333334,0.670,0.670,0.00,0.00,268,0.00,transfer_report_110_20251108-191131,110
/node-besu3,0.06416666666666666,0.014583333333333332,0.663,0.662,0.00,0.00,304,0.00,transfer_report_110_20251108-183041,110
/node-besu1,0.048749999999999995,0.010833333333333334,1.49,1.49,0.00,0.00,216,0.00,transfer_report_110_20251108-183041,110
/node-besu2,0.043750000000000004,0.01375,0.624,0.624,0.00,0.00,100,0.00,transfer_report_110_20251108-183041,110
/node-besu4,0.035416666666666666,0.010833333333333334,0.664,0.664,0.00,0.00,260,0.00,transfer_report_110_20251108-183041,110
