Name,Succ,Fail,Send Rate (TPS),Max Latency (s),Min Latency (s),Avg Latency (s),Throughput (TPS),Experiment,TestType,TPS,Report
transfer,2000,0,100.1,6.49,0.21,3.97,79.3,4n-5s-qbft-v26.2.0_20260404_151411,transfer,100,transfer_tps100
transfer,2000,0,125.1,7.35,1.91,4.13,101.8,4n-5s-qbft-v26.2.0_20260404_151411,transfer,125,transfer_tps125
transfer,2000,0,150.1,8.26,2.15,4.42,118.4,4n-5s-qbft-v26.2.0_20260404_151411,transfer,150,transfer_tps150
transfer,2000,0,175.2,9.27,0.54,6.51,105.9,4n-5s-qbft-v26.2.0_20260404_151411,transfer,175,transfer_tps175
transfer,2000,0,200.2,9.44,0.41,6.30,112.7,4n-5s-qbft-v26.2.0_20260404_151411,transfer,200,transfer_tps200
transfer,2000,0,214.8,13.15,1.57,5.94,90.8,4n-5s-qbft-v26.2.0_20260404_151411,transfer,225,transfer_tps225
transfer,2000,0,250.3,9.66,1.83,6.79,120.2,4n-5s-qbft-v26.2.0_20260404_151411,transfer,250,transfer_tps250
transfer,2000,0,275.3,9.55,3.88,6.63,122.0,4n-5s-qbft-v26.2.0_20260404_151411,transfer,275,transfer_tps275
transfer,2000,0,300.4,11.57,0.97,8.40,112.6,4n-5s-qbft-v26.2.0_20260404_151411,transfer,300,transfer_tps300
