Name,CPU%(max),CPU%(avg),Memory(max) [MB],Memory(avg) [MB],Traffic In [B],Traffic Out [B],Disc Write [MB],Disc Read [B],Experiment,TestType,TPS,Report,Memory(max) [GB],Memory(avg) [GB],Disc Write [KB]
/node-besu1,0.24333333333333332,0.06333333333333334,,,0.00,0.00,1.48,0.00,6n-15s-qbft-v26.2.0_20260331_002513,open,200,open_tps200,1.18,1.17,
/node-besu3,0.005416666666666667,0.00375,,,0.00,0.00,0.891,0.00,6n-15s-qbft-v26.2.0_20260331_002513,open,200,open_tps200,0.514,0.495,
/node-besu2,0.002916666666666667,0.002916666666666667,,,0.00,0.00,0.348,0.00,6n-15s-qbft-v26.2.0_20260331_002513,open,200,open_tps200,0.671,0.669,
/node-besu6,0.00375,0.002916666666666667,,,0.00,0.00,0.156,0.00,6n-15s-qbft-v26.2.0_20260331_002513,open,200,open_tps200,0.654,0.653,
/node-besu5,0.002916666666666667,0.002916666666666667,,,0.00,0.00,0.00,0.00,6n-15s-qbft-v26.2.0_20260331_002513,open,200,open_tps200,0.664,0.663,
/node-besu4,0.41333333333333333,0.08708333333333333,,,0.00,0.00,0.855,0.00,6n-15s-qbft-v26.2.0_20260331_002513,open,210,open_tps210,0.499,0.498,
/node-besu1,0.24041666666666664,0.051666666666666666,,,0.00,0.00,1.42,0.00,6n-15s-qbft-v26.2.0_20260331_002513,open,210,open_tps210,1.18,1.18,
/node-besu3,0.0075,0.005416666666666667,,,0.00,0.00,0.852,0.00,6n-15s-qbft-v26.2.0_20260331_002513,open,210,open_tps210,0.662,0.608,
/node-besu2,0.010833333333333334,0.005416666666666667,,,0.00,0.00,0.281,0.00,6n-15s-qbft-v26.2.0_20260331_002513,open,210,open_tps210,0.671,0.671,
/node-besu6,0.011250000000000001,0.005416666666666667,,,0.00,0.00,0.672,0.00,6n-15s-qbft-v26.2.0_20260331_002513,open,210,open_tps210,0.655,0.655,
/node-besu5,0.008749999999999999,0.004583333333333333,,,0.00,0.00,1.02,0.00,6n-15s-qbft-v26.2.0_20260331_002513,open,210,open_tps210,0.666,0.665,
/node-besu4,0.12791666666666665,0.034583333333333334,,,0.00,0.00,0.824,0.00,6n-15s-qbft-v26.2.0_20260331_002513,open,220,open_tps220,0.516,0.503,
/node-besu1,0.2325,0.06041666666666667,,,0.00,0.00,2.13,0.00,6n-15s-qbft-v26.2.0_20260331_002513,open,220,open_tps220,1.18,1.18,
/node-besu3,0.005,0.00375,,,0.00,0.00,0.695,0.00,6n-15s-qbft-v26.2.0_20260331_002513,open,220,open_tps220,0.665,0.604,
/node-besu2,0.0033333333333333335,0.002916666666666667,,,0.00,0.00,0.781,0.00,6n-15s-qbft-v26.2.0_20260331_002513,open,220,open_tps220,0.672,0.672,
/node-besu6,0.0062499999999999995,0.00375,,,0.00,0.00,0.402,0.00,6n-15s-qbft-v26.2.0_20260331_002513,open,220,open_tps220,0.659,0.657,
/node-besu5,0.009583333333333334,0.004583333333333333,,,0.00,0.00,0.691,0.00,6n-15s-qbft-v26.2.0_20260331_002513,open,220,open_tps220,0.666,0.666,
