Name,Succ,Fail,Send Rate (TPS),Max Latency (s),Min Latency (s),Avg Latency (s),Throughput (TPS),Experiment,TestType,TPS,Report
transfer,50,0,61.7,9.96,9.17,9.57,5.0,6n-10s-qbft-v26.2.0_20260331_000933,transfer,60,transfer_tps60
transfer,50,0,71.8,8.62,7.94,8.28,5.8,6n-10s-qbft-v26.2.0_20260331_000933,transfer,70,transfer_tps70
transfer,50,0,82.4,9.12,8.52,8.82,5.5,6n-10s-qbft-v26.2.0_20260331_000933,transfer,80,transfer_tps80
transfer,50,0,92.8,9.26,8.72,9.00,5.4,6n-10s-qbft-v26.2.0_20260331_000933,transfer,90,transfer_tps90
transfer,50,0,102.9,6.81,6.33,6.57,7.3,6n-10s-qbft-v26.2.0_20260331_000933,transfer,100,transfer_tps100
transfer,50,0,113.4,9.21,8.79,9.00,5.4,6n-10s-qbft-v26.2.0_20260331_000933,transfer,110,transfer_tps110
transfer,50,0,124.1,9.07,8.69,8.88,5.5,6n-10s-qbft-v26.2.0_20260331_000933,transfer,120,transfer_tps120
transfer,50,0,134.4,9.32,8.96,9.14,5.4,6n-10s-qbft-v26.2.0_20260331_000933,transfer,130,transfer_tps130
