Name,CPU%(max),CPU%(avg),Memory(max) [MB],Memory(avg) [MB],Traffic In [B],Traffic Out [B],Disc Write [MB],Disc Read [KB],Report,TPS,Disc Write [KB],Disc Read [B]
/node-besu2,0.24583333333333335,0.09916666666666667,632,603,0.00,0.00,0.672,0.00,open_report,0,,
/node-besu5,0.005833333333333334,0.00375,487,468,0.00,0.00,0.652,0.00,open_report,0,,
/node-besu3,0.005833333333333334,0.00375,570,529,0.00,0.00,0.672,0.00,open_report,0,,
/node-besu6,0.015833333333333335,0.0075,495,469,0.00,0.00,1.38,0.00,open_report,0,,
/node-besu1,0.017916666666666668,0.007916666666666667,746,620,0.00,0.00,0.887,8.00,open_report,0,,
/node-besu4,0.0075,0.00375,636,607,0.00,0.00,0.668,0.00,open_report,0,,
/node-besu2,0.007916666666666667,0.005,633,632,0.00,0.00,,,query_report,0,0.00,0.00
/node-besu5,0.0025,0.0025,490,487,0.00,0.00,,,query_report,0,0.00,0.00
/node-besu3,0.0020833333333333333,0.0020833333333333333,548,548,0.00,0.00,,,query_report,0,16.0,0.00
/node-besu6,0.0033333333333333335,0.002916666666666667,488,488,0.00,0.00,,,query_report,0,100,0.00
/node-besu1,0.002916666666666667,0.0025,784,764,0.00,0.00,,,query_report,0,16.0,0.00
/node-besu4,0.017499999999999998,0.015416666666666667,633,632,0.00,0.00,,,query_report,0,84.0,0.00
/node-besu2,0.0025,0.0020833333333333333,633,633,0.00,0.00,,,transfer_report,0,184,0.00
/node-besu5,0.03625,0.01958333333333333,528,525,0.00,0.00,,,transfer_report,0,148,0.00
/node-besu3,0.015416666666666667,0.008749999999999999,550,549,0.00,0.00,,,transfer_report,0,0.00,0.00
/node-besu6,0.03166666666666667,0.017083333333333332,489,488,0.00,0.00,,,transfer_report,0,216,0.00
/node-besu1,0.025833333333333333,0.017499999999999998,847,830,0.00,0.00,,,transfer_report,0,0.00,0.00
/node-besu4,0.024583333333333332,0.013333333333333334,636,635,0.00,0.00,,,transfer_report,0,192,0.00
