Name,CPU%(max),CPU%(avg),Memory(max) [MB],Memory(avg) [MB],Traffic In [B],Traffic Out [B],Disc Write [MB],Disc Read [B],Report,TPS,Disc Write [KB]
/node-besu1,0.6033333333333334,0.24625,867,682,0.00,0.00,2.17,0.00,open_report,0,
/node-besu4,0.07791666666666668,0.024583333333333332,502,487,0.00,0.00,1.27,0.00,open_report,0,
/node-besu3,0.47500000000000003,0.12416666666666666,516,500,0.00,0.00,1.23,0.00,open_report,0,
/node-besu2,1.0929166666666668,0.2866666666666667,482,471,0.00,0.00,1.27,0.00,open_report,0,
/node-besu1,0.035416666666666666,0.025833333333333333,887,877,0.00,0.00,,0.00,query_report,0,184
/node-besu4,0.007916666666666667,0.005833333333333334,502,502,0.00,0.00,,0.00,query_report,0,48.0
/node-besu3,0.008749999999999999,0.005833333333333334,516,516,0.00,0.00,,0.00,query_report,0,0.00
/node-besu2,0.0075,0.005416666666666667,483,482,0.00,0.00,,0.00,query_report,0,48.0
/node-besu1,0.16291666666666668,0.08833333333333333,888,887,0.00,0.00,,0.00,transfer_report,0,116
/node-besu4,0.015416666666666667,0.010416666666666666,504,503,0.00,0.00,,0.00,transfer_report,0,0.00
/node-besu3,0.020416666666666666,0.011666666666666667,519,517,0.00,0.00,,0.00,transfer_report,0,188
/node-besu2,0.01916666666666667,0.011250000000000001,485,484,0.00,0.00,,0.00,transfer_report,0,188
