Name,CPU%(max),CPU%(avg),Memory(max) [MB],Memory(avg) [MB],Traffic In [B],Traffic Out [B],Disc Write [MB],Disc Read [B],Report,TPS,Disc Write [KB]
/node-besu2,0.5441666666666667,0.14583333333333334,611,605,0.00,0.00,1.39,0.00,open_report,0,
/node-besu3,0.5570833333333333,0.19041666666666668,622,609,0.00,0.00,0.824,0.00,open_report,0,
/node-besu5,0.5204166666666666,0.13541666666666666,526,492,0.00,0.00,0.871,0.00,open_report,0,
/node-besu1,0.4808333333333333,0.23416666666666666,996,750,0.00,0.00,2.20,0.00,open_report,0,
/node-besu6,0.57375,0.15041666666666667,536,526,0.00,0.00,0.883,0.00,open_report,0,
/node-besu4,0.48833333333333334,0.12458333333333334,541,523,0.00,0.00,1.33,0.00,open_report,0,
/node-besu2,0.002916666666666667,0.0025,611,611,0.00,0.00,,0.00,query_report,0,52.0
/node-besu3,0.008333333333333333,0.0075,622,622,0.00,0.00,,0.00,query_report,0,0.00
/node-besu5,0.00375,0.00375,530,530,0.00,0.00,,0.00,query_report,0,64.0
/node-besu1,0.020416666666666666,0.012083333333333333,998,997,0.00,0.00,,0.00,query_report,0,248
/node-besu6,0.008749999999999999,0.006666666666666667,537,537,0.00,0.00,,0.00,query_report,0,0.00
/node-besu4,0.009583333333333334,0.008333333333333333,578,578,0.00,0.00,,0.00,query_report,0,56.0
/node-besu2,0.015833333333333335,0.012083333333333333,668,654,0.00,0.00,,0.00,transfer_report,0,140
/node-besu3,0.0033333333333333335,0.002916666666666667,624,623,0.00,0.00,,0.00,transfer_report,0,0.00
/node-besu5,0.002916666666666667,0.0025,532,532,0.00,0.00,,0.00,transfer_report,0,0.00
/node-besu1,0.004583333333333333,0.004166666666666667,998,997,0.00,0.00,,0.00,transfer_report,0,192
/node-besu6,0.00375,0.0033333333333333335,538,537,0.00,0.00,,0.00,transfer_report,0,196
/node-besu4,0.0033333333333333335,0.0033333333333333335,578,578,0.00,0.00,,0.00,transfer_report,0,164
