Name,Succ,Fail,Send Rate (TPS),Max Latency (s),Min Latency (s),Avg Latency (s),Throughput (TPS),Experiment,TestType,TPS,Report
transfer,50,0,61.5,5.18,4.39,4.79,9.6,6n-20s-qbft-v26.2.0_20260331_004153,transfer,60,transfer_tps60
transfer,50,0,71.9,18.43,17.75,18.10,2.7,6n-20s-qbft-v26.2.0_20260331_004153,transfer,70,transfer_tps70
transfer,50,0,82.1,19.38,18.78,19.08,2.6,6n-20s-qbft-v26.2.0_20260331_004153,transfer,80,transfer_tps80
transfer,50,0,92.8,13.61,13.07,13.34,3.7,6n-20s-qbft-v26.2.0_20260331_004153,transfer,90,transfer_tps90
transfer,50,0,103.1,19.05,18.58,18.82,2.6,6n-20s-qbft-v26.2.0_20260331_004153,transfer,100,transfer_tps100
transfer,50,0,113.4,19.21,18.78,19.00,2.6,6n-20s-qbft-v26.2.0_20260331_004153,transfer,110,transfer_tps110
transfer,50,0,124.1,19.12,18.73,18.93,2.6,6n-20s-qbft-v26.2.0_20260331_004153,transfer,120,transfer_tps120
transfer,50,0,134.8,18.72,18.36,18.54,2.7,6n-20s-qbft-v26.2.0_20260331_004153,transfer,130,transfer_tps130
