Name,Succ,Fail,Send Rate (TPS),Max Latency (s),Min Latency (s),Avg Latency (s),Throughput (TPS),Experiment,TestType,TPS,Report
open,2000,0,100.1,25.27,14.51,20.49,58.0,10n-5s-ibft-v26.2.0_20260404_175600,open,100,open_tps100
open,2000,0,125.1,7.74,1.28,5.08,106.4,10n-5s-ibft-v26.2.0_20260404_175600,open,125,open_tps125
open,2000,0,150.1,8.57,3.40,5.06,119.6,10n-5s-ibft-v26.2.0_20260404_175600,open,150,open_tps150
open,2000,0,175.2,6.45,0.98,4.50,133.5,10n-5s-ibft-v26.2.0_20260404_175600,open,175,open_tps175
open,2000,0,200.2,11.24,0.37,6.24,116.7,10n-5s-ibft-v26.2.0_20260404_175600,open,200,open_tps200
open,2000,0,220.6,8.38,1.54,5.71,116.5,10n-5s-ibft-v26.2.0_20260404_175600,open,225,open_tps225
open,2000,0,250.3,7.80,3.49,5.45,135.2,10n-5s-ibft-v26.2.0_20260404_175600,open,250,open_tps250
open,2000,0,275.3,7.27,3.25,5.54,137.6,10n-5s-ibft-v26.2.0_20260404_175600,open,275,open_tps275
open,2000,0,300.4,9.12,1.16,6.33,126.8,10n-5s-ibft-v26.2.0_20260404_175600,open,300,open_tps300
