Name,CPU%(max),CPU%(avg),Memory(max) [MB],Memory(avg) [MB],Traffic In [B],Traffic Out [B],Disc Write [MB],Disc Read [B],Report,TPS,Disc Write [KB]
/node-besu3,0.08458333333333333,0.024583333333333332,498,480,0.00,0.00,1.28,0.00,open_report,0,
/node-besu2,0.33791666666666664,0.09375,551,533,0.00,0.00,1.26,0.00,open_report,0,
/node-besu1,0.26833333333333337,0.09625,816,636,0.00,0.00,2.13,0.00,open_report,0,
/node-besu4,0.2783333333333333,0.07875,461,447,0.00,0.00,0.758,0.00,open_report,0,
/node-besu3,0.02666666666666667,0.014583333333333332,499,498,0.00,0.00,,0.00,query_report,0,52.0
/node-besu2,0.002916666666666667,0.002916666666666667,551,551,0.00,0.00,,0.00,query_report,0,48.0
/node-besu1,0.007083333333333334,0.005416666666666667,814,810,0.00,0.00,,0.00,query_report,0,244
/node-besu4,0.004583333333333333,0.0033333333333333335,462,462,0.00,0.00,,0.00,query_report,0,16.0
/node-besu3,0.013333333333333334,0.008333333333333333,504,501,0.00,0.00,,0.00,transfer_report,0,56.0
/node-besu2,0.02,0.011666666666666667,551,551,0.00,0.00,,0.00,transfer_report,0,52.0
/node-besu1,0.03291666666666667,0.022083333333333333,814,814,0.00,0.00,,0.00,transfer_report,0,88.0
/node-besu4,0.013333333333333334,0.0075,463,462,0.00,0.00,,0.00,transfer_report,0,0.00
