Name,CPU%(max),CPU%(avg),Memory(max) [GB],Memory(avg) [GB],Traffic In [B],Traffic Out [B],Disc Write [KB],Disc Read [B],Experiment,TestType,TPS,Report,Disc Write [B]
/node-besu1,0.025833333333333333,0.014166666666666668,1.27,1.27,0.00,0.00,0.00,0.00,6n-15s-ibft-v26.2.0_20260331_013354,query,450,query_tps450,
/node-besu2,0.01,0.0062499999999999995,0.627,0.627,0.00,0.00,0.00,0.00,6n-15s-ibft-v26.2.0_20260331_013354,query,450,query_tps450,
/node-besu6,0.009166666666666667,0.005833333333333334,0.662,0.662,0.00,0.00,32.0,0.00,6n-15s-ibft-v26.2.0_20260331_013354,query,450,query_tps450,
/node-besu5,0.007083333333333334,0.005,0.646,0.646,0.00,0.00,0.00,0.00,6n-15s-ibft-v26.2.0_20260331_013354,query,475,query_tps475,
/node-besu3,0.009583333333333334,0.0062499999999999995,0.469,0.469,0.00,0.00,0.00,0.00,6n-15s-ibft-v26.2.0_20260331_013354,query,475,query_tps475,
/node-besu4,0.00375,0.002916666666666667,0.684,0.684,0.00,0.00,76.0,0.00,6n-15s-ibft-v26.2.0_20260331_013354,query,475,query_tps475,
/node-besu1,0.0062499999999999995,0.004583333333333333,1.27,1.27,0.00,0.00,16.0,0.00,6n-15s-ibft-v26.2.0_20260331_013354,query,475,query_tps475,
/node-besu2,0.02,0.011250000000000001,0.627,0.627,0.00,0.00,108,0.00,6n-15s-ibft-v26.2.0_20260331_013354,query,475,query_tps475,
/node-besu6,0.0062499999999999995,0.004166666666666667,0.662,0.662,0.00,0.00,76.0,0.00,6n-15s-ibft-v26.2.0_20260331_013354,query,475,query_tps475,
/node-besu5,0.022083333333333333,0.012499999999999999,0.647,0.646,0.00,0.00,92.0,0.00,6n-15s-ibft-v26.2.0_20260331_013354,query,500,query_tps500,
/node-besu3,0.014583333333333332,0.009166666666666667,0.469,0.469,0.00,0.00,48.0,0.00,6n-15s-ibft-v26.2.0_20260331_013354,query,500,query_tps500,
/node-besu4,0.006666666666666667,0.004583333333333333,0.683,0.683,0.00,0.00,32.0,0.00,6n-15s-ibft-v26.2.0_20260331_013354,query,500,query_tps500,
/node-besu1,0.00375,0.002916666666666667,1.27,1.27,0.00,0.00,0.00,0.00,6n-15s-ibft-v26.2.0_20260331_013354,query,500,query_tps500,
/node-besu2,0.0062499999999999995,0.004583333333333333,0.627,0.627,0.00,0.00,0.00,0.00,6n-15s-ibft-v26.2.0_20260331_013354,query,500,query_tps500,
/node-besu6,0.007916666666666667,0.005416666666666667,0.662,0.662,0.00,0.00,0.00,0.00,6n-15s-ibft-v26.2.0_20260331_013354,query,500,query_tps500,
