Name,CPU%(max),CPU%(avg),Memory(max) [GB],Memory(avg) [MB],Traffic In [B],Traffic Out [B],Disc Write [MB],Disc Read [KB],Experiment,TestType,TPS,Report,Memory(avg) [GB],Disc Read [B]
/node-besu3,0.3854166666666667,0.13791666666666666,0.724,,0.00,0.00,0.602,,12n-5s-ibft-v26.2.0_20260330_235529,open,170,open_tps170,0.719,0.00
/node-besu10,0.3458333333333334,0.16625,0.773,,0.00,0.00,0.574,,12n-5s-ibft-v26.2.0_20260330_235529,open,170,open_tps170,0.764,0.00
/node-besu1,0.30916666666666665,0.16,1.19,,0.00,0.00,1.21,,12n-5s-ibft-v26.2.0_20260330_235529,open,170,open_tps170,1.19,0.00
/node-besu4,0.28375,0.10375000000000001,0.667,,0.00,0.00,0.770,,12n-5s-ibft-v26.2.0_20260330_235529,open,170,open_tps170,0.561,0.00
/node-besu5,0.19416666666666668,0.06541666666666666,0.710,,0.00,0.00,0.832,,12n-5s-ibft-v26.2.0_20260330_235529,open,180,open_tps180,0.709,0.00
/node-besu2,0.33499999999999996,0.09000000000000001,0.736,,0.00,0.00,0.832,,12n-5s-ibft-v26.2.0_20260330_235529,open,180,open_tps180,0.717,0.00
/node-besu8,0.31708333333333333,0.08208333333333333,0.717,,0.00,0.00,0.00,,12n-5s-ibft-v26.2.0_20260330_235529,open,180,open_tps180,0.709,0.00
/node-besu9,0.3745833333333333,0.09583333333333333,0.848,,0.00,0.00,0.762,,12n-5s-ibft-v26.2.0_20260330_235529,open,180,open_tps180,0.828,0.00
/node-besu12,0.36000000000000004,0.09416666666666666,0.712,,0.00,0.00,0.785,,12n-5s-ibft-v26.2.0_20260330_235529,open,180,open_tps180,0.711,0.00
/node-besu6,0.34041666666666665,0.08708333333333333,0.757,,0.00,0.00,0.801,,12n-5s-ibft-v26.2.0_20260330_235529,open,180,open_tps180,0.747,0.00
/node-besu11,0.36083333333333334,0.09250000000000001,0.671,,0.00,0.00,0.00,,12n-5s-ibft-v26.2.0_20260330_235529,open,180,open_tps180,0.671,0.00
/node-besu7,0.30541666666666667,0.08208333333333333,0.878,,0.00,0.00,0.777,,12n-5s-ibft-v26.2.0_20260330_235529,open,180,open_tps180,0.865,0.00
/node-besu3,0.38375000000000004,0.09833333333333333,0.792,,0.00,0.00,0.00,,12n-5s-ibft-v26.2.0_20260330_235529,open,180,open_tps180,0.754,0.00
/node-besu10,0.3466666666666667,0.08875,0.777,,0.00,0.00,0.816,,12n-5s-ibft-v26.2.0_20260330_235529,open,180,open_tps180,0.776,0.00
/node-besu1,0.3720833333333333,0.15916666666666665,1.20,,0.00,0.00,1.62,,12n-5s-ibft-v26.2.0_20260330_235529,open,180,open_tps180,1.20,0.00
/node-besu4,0.30833333333333335,0.07958333333333333,0.669,,0.00,0.00,0.926,,12n-5s-ibft-v26.2.0_20260330_235529,open,180,open_tps180,0.611,0.00
/node-besu5,0.05291666666666667,0.02,0.711,,0.00,0.00,0.758,,12n-5s-ibft-v26.2.0_20260330_235529,open,190,open_tps190,0.710,0.00
/node-besu2,0.06458333333333334,0.023749999999999997,0.768,,0.00,0.00,0.734,,12n-5s-ibft-v26.2.0_20260330_235529,open,190,open_tps190,0.767,0.00
/node-besu8,0.002916666666666667,0.002916666666666667,0.707,,0.00,0.00,0.707,,12n-5s-ibft-v26.2.0_20260330_235529,open,190,open_tps190,0.706,0.00
/node-besu9,0.002916666666666667,0.002916666666666667,0.842,,0.00,0.00,0.727,,12n-5s-ibft-v26.2.0_20260330_235529,open,190,open_tps190,0.841,0.00
/node-besu12,0.002916666666666667,0.002916666666666667,0.713,,0.00,0.00,0.688,,12n-5s-ibft-v26.2.0_20260330_235529,open,190,open_tps190,0.712,0.00
/node-besu6,0.0033333333333333335,0.002916666666666667,0.745,,0.00,0.00,0.695,,12n-5s-ibft-v26.2.0_20260330_235529,open,190,open_tps190,0.745,0.00
/node-besu11,0.0033333333333333335,0.0033333333333333335,0.739,,0.00,0.00,0.00,,12n-5s-ibft-v26.2.0_20260330_235529,open,190,open_tps190,0.708,0.00
/node-besu7,0.0025,0.0025,0.866,,0.00,0.00,0.00,,12n-5s-ibft-v26.2.0_20260330_235529,open,190,open_tps190,0.866,0.00
/node-besu3,0.002916666666666667,0.002916666666666667,0.796,,0.00,0.00,0.707,,12n-5s-ibft-v26.2.0_20260330_235529,open,190,open_tps190,0.795,0.00
/node-besu10,0.002916666666666667,0.002916666666666667,0.779,,0.00,0.00,0.711,,12n-5s-ibft-v26.2.0_20260330_235529,open,190,open_tps190,0.778,0.00
/node-besu1,0.0075,0.005416666666666667,1.20,,0.00,0.00,1.25,,12n-5s-ibft-v26.2.0_20260330_235529,open,190,open_tps190,1.20,0.00
/node-besu4,0.017916666666666668,0.008333333333333333,0.633,,0.00,0.00,0.754,,12n-5s-ibft-v26.2.0_20260330_235529,open,190,open_tps190,0.594,0.00
/node-besu5,0.07583333333333334,0.0275,0.712,,0.00,0.00,0.730,,12n-5s-ibft-v26.2.0_20260330_235529,open,200,open_tps200,0.712,0.00
/node-besu2,0.015,0.011250000000000001,0.769,,0.00,0.00,0.723,,12n-5s-ibft-v26.2.0_20260330_235529,open,200,open_tps200,0.768,0.00
/node-besu8,0.0775,0.03291666666666667,0.707,,0.00,0.00,0.711,,12n-5s-ibft-v26.2.0_20260330_235529,open,200,open_tps200,0.707,0.00
/node-besu9,0.14083333333333334,0.05333333333333334,0.843,,0.00,0.00,0.285,,12n-5s-ibft-v26.2.0_20260330_235529,open,200,open_tps200,0.842,0.00
/node-besu12,0.08791666666666666,0.03625,0.714,,0.00,0.00,0.664,,12n-5s-ibft-v26.2.0_20260330_235529,open,200,open_tps200,0.714,0.00
/node-besu6,0.08416666666666667,0.03375,0.749,,0.00,0.00,0.297,,12n-5s-ibft-v26.2.0_20260330_235529,open,200,open_tps200,0.748,0.00
/node-besu11,0.07125,0.03,0.741,,0.00,0.00,0.00781,,12n-5s-ibft-v26.2.0_20260330_235529,open,200,open_tps200,0.741,0.00
/node-besu7,0.07833333333333332,0.03208333333333333,0.867,,0.00,0.00,0.00,,12n-5s-ibft-v26.2.0_20260330_235529,open,200,open_tps200,0.867,0.00
/node-besu3,0.09541666666666666,0.03875,0.798,,0.00,0.00,0.293,,12n-5s-ibft-v26.2.0_20260330_235529,open,200,open_tps200,0.798,0.00
/node-besu10,0.06458333333333334,0.0275,0.780,,0.00,0.00,0.746,,12n-5s-ibft-v26.2.0_20260330_235529,open,200,open_tps200,0.780,0.00
/node-besu1,0.08958333333333333,0.03625,1.20,,0.00,0.00,1.28,,12n-5s-ibft-v26.2.0_20260330_235529,open,200,open_tps200,1.20,0.00
/node-besu4,0.08041666666666666,0.03333333333333333,0.769,,0.00,0.00,0.676,,12n-5s-ibft-v26.2.0_20260330_235529,open,200,open_tps200,0.709,0.00
/node-besu5,0.004583333333333333,0.00375,0.714,,0.00,0.00,0.723,,12n-5s-ibft-v26.2.0_20260330_235529,open,210,open_tps210,0.713,0.00
/node-besu2,0.24,0.08750000000000001,0.770,,0.00,0.00,0.754,,12n-5s-ibft-v26.2.0_20260330_235529,open,210,open_tps210,0.769,0.00
/node-besu8,0.24791666666666667,0.09041666666666666,0.711,,0.00,0.00,0.750,,12n-5s-ibft-v26.2.0_20260330_235529,open,210,open_tps210,0.710,0.00
/node-besu9,0.26916666666666667,0.09666666666666666,0.844,,0.00,0.00,0.00,,12n-5s-ibft-v26.2.0_20260330_235529,open,210,open_tps210,0.843,0.00
/node-besu12,0.24875,0.08958333333333333,0.715,,0.00,0.00,0.734,,12n-5s-ibft-v26.2.0_20260330_235529,open,210,open_tps210,0.715,0.00
/node-besu6,0.24958333333333335,0.09125,0.750,,0.00,0.00,0.336,,12n-5s-ibft-v26.2.0_20260330_235529,open,210,open_tps210,0.750,0.00
/node-besu11,0.22333333333333336,0.08166666666666667,0.743,,0.00,0.00,1.03,,12n-5s-ibft-v26.2.0_20260330_235529,open,210,open_tps210,0.742,0.00
/node-besu7,0.2529166666666667,0.10041666666666667,0.869,,0.00,0.00,1.16,,12n-5s-ibft-v26.2.0_20260330_235529,open,210,open_tps210,0.869,0.00
/node-besu3,0.3045833333333333,0.10958333333333332,0.799,,0.00,0.00,1.13,,12n-5s-ibft-v26.2.0_20260330_235529,open,210,open_tps210,0.799,0.00
/node-besu10,0.2733333333333333,0.09875,0.781,,0.00,0.00,0.777,,12n-5s-ibft-v26.2.0_20260330_235529,open,210,open_tps210,0.781,0.00
/node-besu1,0.31625,0.13166666666666668,1.20,,0.00,0.00,1.32,,12n-5s-ibft-v26.2.0_20260330_235529,open,210,open_tps210,1.19,0.00
/node-besu4,0.2579166666666667,0.09416666666666666,0.771,,0.00,0.00,0.734,,12n-5s-ibft-v26.2.0_20260330_235529,open,210,open_tps210,0.770,0.00
/node-besu5,0.14708333333333332,0.055,0.715,,0.00,0.00,0.773,,12n-5s-ibft-v26.2.0_20260330_235529,open,220,open_tps220,0.714,0.00
/node-besu2,0.17708333333333334,0.06541666666666666,0.771,,0.00,0.00,0.246,,12n-5s-ibft-v26.2.0_20260330_235529,open,220,open_tps220,0.770,0.00
/node-besu8,0.26916666666666667,0.09166666666666667,0.712,,0.00,0.00,0.738,,12n-5s-ibft-v26.2.0_20260330_235529,open,220,open_tps220,0.711,0.00
/node-besu9,0.11625,0.041666666666666664,0.844,,0.00,0.00,0.793,,12n-5s-ibft-v26.2.0_20260330_235529,open,220,open_tps220,0.844,0.00
/node-besu12,0.24083333333333334,0.08208333333333333,0.716,,0.00,0.00,0.699,,12n-5s-ibft-v26.2.0_20260330_235529,open,220,open_tps220,0.716,0.00
/node-besu6,0.12083333333333333,0.0425,0.750,,0.00,0.00,0.320,,12n-5s-ibft-v26.2.0_20260330_235529,open,220,open_tps220,0.750,0.00
/node-besu11,0.2816666666666667,0.09708333333333334,0.744,,0.00,0.00,0.742,,12n-5s-ibft-v26.2.0_20260330_235529,open,220,open_tps220,0.744,0.00
/node-besu7,0.14375000000000002,0.04958333333333333,0.869,,0.00,0.00,0.707,,12n-5s-ibft-v26.2.0_20260330_235529,open,220,open_tps220,0.869,0.00
/node-besu3,0.14875,0.051666666666666666,0.800,,0.00,0.00,0.00,,12n-5s-ibft-v26.2.0_20260330_235529,open,220,open_tps220,0.800,0.00
/node-besu10,0.11,0.04041666666666666,0.783,,0.00,0.00,0.746,,12n-5s-ibft-v26.2.0_20260330_235529,open,220,open_tps220,0.782,0.00
/node-besu1,0.645,0.22,1.19,,0.00,0.00,1.88,,12n-5s-ibft-v26.2.0_20260330_235529,open,220,open_tps220,1.05,0.00
/node-besu4,0.21,0.07208333333333333,0.771,,0.00,0.00,0.730,,12n-5s-ibft-v26.2.0_20260330_235529,open,220,open_tps220,0.771,0.00
