Name,CPU%(max),CPU%(avg),Memory(max) [GB],Memory(avg) [MB],Traffic In [B],Traffic Out [B],Disc Write [MB],Disc Read [B],Report,TPS,Memory(avg) [GB],Disc Write [KB]
/node-besu3,0.3154166666666667,0.09041666666666666,0.569,557,0.00,0.00,1.03,0.00,open_report,0,,
/node-besu5,0.6033333333333334,0.15916666666666665,0.535,510,0.00,0.00,0.816,0.00,open_report,0,,
/node-besu4,0.7312500000000001,0.2070833333333333,0.553,543,0.00,0.00,1.41,0.00,open_report,0,,
/node-besu1,0.82125,0.27708333333333335,1.06,840,0.00,0.00,2.50,0.00,open_report,0,,
/node-besu6,0.5675,0.15333333333333335,0.537,514,0.00,0.00,1.28,0.00,open_report,0,,
/node-besu2,0.69,0.18083333333333332,0.588,566,0.00,0.00,0.383,0.00,open_report,0,,
/node-besu3,0.014166666666666668,0.008333333333333333,0.594,,0.00,0.00,0.516,0.00,query_report,0,0.585,
/node-besu5,0.016666666666666666,0.01,0.537,,0.00,0.00,0.00,0.00,query_report,0,0.537,
/node-besu4,0.028333333333333335,0.015833333333333335,0.547,,0.00,0.00,0.00,0.00,query_report,0,0.547,
/node-besu1,0.03291666666666667,0.027083333333333334,1.06,,0.00,0.00,0.297,0.00,query_report,0,1.06,
/node-besu6,0.015,0.009166666666666667,0.537,,0.00,0.00,0.0977,0.00,query_report,0,0.537,
/node-besu2,0.03625,0.02,0.589,,0.00,0.00,1.10,0.00,query_report,0,0.589,
/node-besu3,0.011666666666666667,0.007083333333333334,0.610,,0.00,0.00,,0.00,transfer_report,0,0.590,0.00
/node-besu5,0.017083333333333332,0.015416666666666667,0.542,,0.00,0.00,,0.00,transfer_report,0,0.540,0.00
/node-besu4,0.012083333333333333,0.007916666666666667,0.548,,0.00,0.00,,0.00,transfer_report,0,0.547,324
/node-besu1,0.045000000000000005,0.024166666666666666,1.06,,0.00,0.00,,0.00,transfer_report,0,1.06,324
/node-besu6,0.01375,0.008333333333333333,0.538,,0.00,0.00,,0.00,transfer_report,0,0.538,252
/node-besu2,0.014166666666666668,0.008333333333333333,0.590,,0.00,0.00,,0.00,transfer_report,0,0.590,0.00
