Name,CPU%(max),CPU%(avg),Memory(max) [GB],Memory(avg) [MB],Traffic In [B],Traffic Out [B],Disc Write [MB],Disc Read [B],Experiment,TestType,TPS,Report,Memory(avg) [GB],Disc Write [KB]
/node-besu4,0.4479166666666667,0.14416666666666667,0.614,549,0.00,0.00,0.684,0.00,6n-10s-ibft-v26.2.0_20260331_011823,open,150,open_tps150,,
/node-besu6,0.7566666666666667,0.18666666666666668,0.581,538,0.00,0.00,0.00,0.00,6n-10s-ibft-v26.2.0_20260331_011823,open,150,open_tps150,,
/node-besu1,0.635,0.30291666666666667,1.00,743,0.00,0.00,2.48,0.00,6n-10s-ibft-v26.2.0_20260331_011823,open,150,open_tps150,,
/node-besu5,0.8091666666666667,0.23666666666666666,0.655,592,0.00,0.00,0.605,0.00,6n-10s-ibft-v26.2.0_20260331_011823,open,150,open_tps150,,
/node-besu2,0.6783333333333333,0.24916666666666668,0.610,551,0.00,0.00,1.38,0.00,6n-10s-ibft-v26.2.0_20260331_011823,open,150,open_tps150,,
/node-besu3,0.6466666666666666,0.24583333333333335,0.532,499,0.00,0.00,0.570,0.00,6n-10s-ibft-v26.2.0_20260331_011823,open,150,open_tps150,,
/node-besu4,0.53,0.18833333333333332,0.645,,0.00,0.00,1.05,0.00,6n-10s-ibft-v26.2.0_20260331_011823,open,160,open_tps160,0.635,
/node-besu6,0.10958333333333332,0.03166666666666667,0.617,,0.00,0.00,0.652,0.00,6n-10s-ibft-v26.2.0_20260331_011823,open,160,open_tps160,0.561,
/node-besu1,0.24291666666666667,0.085,1.18,,0.00,0.00,1.50,0.00,6n-10s-ibft-v26.2.0_20260331_011823,open,160,open_tps160,1.09,
/node-besu5,0.04083333333333333,0.012499999999999999,0.666,,0.00,0.00,0.969,0.00,6n-10s-ibft-v26.2.0_20260331_011823,open,160,open_tps160,0.661,
/node-besu2,0.0825,0.02291666666666667,0.609,,0.00,0.00,0.895,0.00,6n-10s-ibft-v26.2.0_20260331_011823,open,160,open_tps160,0.529,
/node-besu3,0.11499999999999999,0.03125,0.528,,0.00,0.00,1.06,0.00,6n-10s-ibft-v26.2.0_20260331_011823,open,160,open_tps160,0.499,
/node-besu4,0.3666666666666667,0.09416666666666666,0.715,,0.00,0.00,,0.00,6n-10s-ibft-v26.2.0_20260331_011823,open,170,open_tps170,0.690,628
/node-besu6,0.041666666666666664,0.012916666666666667,0.616,,0.00,0.00,,0.00,6n-10s-ibft-v26.2.0_20260331_011823,open,170,open_tps170,0.531,656
